,movieCd,peopleNm,peopleNmEn,cast,castEn
0,20200566,전석호,JEON Suk-ho,광성,Kwang-sung
1,20200566,태인호,TAE In-ho,석호,Seok-ho
2,20200566,조성하,CHO Seong-ha,사형수,Imprisoned gangster
3,20200566,이원종,LEE Won-jong,신사,Gentleman
4,20200566,김민엽,,,
5,20200566,임승민,Leem Seung-min,재하,
6,20200566,최예빈,,,
7,20200566,최희진,CHOI Hee-jin,,
8,20200566,채서은,,,
9,20200566,이규현,,,
10,20200566,엄서현,,,
11,20200566,이교형,,,
12,20200566,권일,,,
0,20208101,박성웅,PARK Sung-woong,마성준,
1,20208101,양현민,YANG Hyun-min,청담도령,
2,20208101,류경수,RYU Gyeong-su,신남,
3,20208101,정경호,CHUNG Kyung-ho,그리고 손익수,
4,20208101,서지유,,정윤희,
5,20208101,남태우,NAM Tae-woo,무당선생,
6,20208101,기주봉,KI Joo-bong,원장,
7,20208101,백현주,BAEK Hyun-joo,원장부인,
8,20208101,문창길,MUN Chang-gil,윤희 아버지,
9,20208101,이용녀,LEE Yong-nyeo,최말자 권사,
10,20208101,김경익,KIM Gyeong-ik,현장소장,
11,20208101,박재홍,,대홍,
12,20208101,곽연근,,곽쌤,
13,20208101,이동희,,최아재,
14,20208101,양승호,,익수조직원1,
15,20208101,서태성,,익수조직원2,
16,20208101,이하늬,,익수조직원3,
17,20208101,이태룡,,익수조직원4,
18,20208101,권기하,KWON Ki-ha,익수조직원5,
19,20208101,이채현,,어린 익수,
20,20208101,이용희,,익수 부,
21,20208101,홍민수,,스님,
22,20208101,김준희,,교도관,
23,20208101,유순웅,YU Soon-woong,청담 부,
24,20208101,선학,,신남 신당손님,
25,20208101,이가경,LEE Ga-kyung,우는 여자(신당손님),
26,20208101,전재형,,건달(신당손님),
27,20208101,한이진,HAN Iee-jin,취준생(신당손님),
28,20208101,조기성,,백봉제자 대학생,
29,20208101,강홍렬,,무당학원 동기생1,
30,20208101,최재호,,무당학원 동기생2,
31,20208101,김서영,,무당학원 동기생3,
32,20208101,신승균,,장구 악사,
33,20208101,김동윤,,태평소 악사,
34,20208101,윤현준,,징 악사,
35,20208101,노형원,,엔딩경찰,
36,20208101,박정욱,,호스트바 실장,
37,20208101,정은성,,호스트바 여손님1,
38,20208101,곽지명,,호스트바 여손님2,
39,20208101,임은지,,호스트바 여손님3,
40,20208101,백란희,,호스트바 여손님4,
41,20208101,오혜현,,호스트바 여손님5,
42,20208101,이한누리,,호스트바 여손님6,
43,20208101,김진,,호스트바 여손님7,
44,20208101,오하늬,,호스트바 여손님8,
45,20208101,양경희,YANG Kyeong-hui,호스트바 여손님9,
46,20208101,정효진,,호스트바 여손님10,
47,20208101,한재욱,,호스트바 선수1,
48,20208101,홍준기,,호스트바 선수2,
49,20208101,이준상,,호스트바 선수3,
50,20208101,양정두,,호스트바 선수4,
51,20208101,김다니엘,,호스트바 선수5,
52,20208101,한동호,,호스트바 선수6,
53,20208101,장명진,,호스트바 선수8,
54,20208101,오창석,,호스트바 선수9,
55,20208101,최한규,,호스트바 경찰,
56,20208101,양준명,,대학생1,
57,20208101,변만후,,대학생2,
58,20208101,양경수,,대학생3,
59,20208101,김바다,KIM Ba-da,고문형사1,
60,20208101,이하형,,고문형사2,
61,20208101,주광현,,요양원근무자1,
62,20208101,김주경,,요양원근무자2,
63,20208101,최진혁,,요양원근무자3,
64,20208101,나대남,,중국집 배달원,
65,20208101,조미라,CHO Mi-ra,7구역 주민1,
66,20208101,김근영,,7구역 주민2,
67,20208101,허성우,,7구역 주민3,
68,20208101,김성하,,7구역 주민4,
69,20208101,이경재,,7구역 주민5,
70,20208101,서임철,,7구역 주민6,
71,20208101,최나무,,다방 여종업원,
72,20208101,김봉수,,노년 이발소주인,
73,20208101,윤효식,YOON Hyo-sik,중년남자 목소리,
74,20208101,임상희,,중년여자 목소리,
75,20208101,윤경호,YUN Gyeong-ho,백봉선생,
76,20208101,오대환,OH Dae-hwan,엔딩형사,
77,20208101,홍서준,HONG Seo-joon,신부,
78,20208101,서진원,SEO Jin-won,목사,
79,20208101,한선화,HAN Sun-hwa,여자 연예인,
80,20208101,최참사랑,,덕수궁선녀,
81,20208101,김용완,KIM Yong-wan,무당학원학생,
0,19900046,최재성,CHOI Jae-sung,,
1,19900046,신은경,SHIN Eun-kyung,,
2,19900046,강민경,KANG Min-kyung ,,
3,19900046,김보라나,KIM Boh-ra-nah ,,
4,19900046,김일우,KIM Il-woo,체육 선생,
0,19750143,신중현,SHIN Joong-hyun,,
1,19750143,김미영,Kim Mi-yeong,,
0,20226585,권해효,KWON Hae-hyo,,
1,20226585,이혜영,LEE Hye-young,,
2,20226585,송선미,SONG Sun-mi,,
3,20226585,조윤희,Cho Yunhee,,
4,20226585,박미소,Park Miso,,
5,20226585,신석호,Shin Seok-ho,,
0,20198429,소지섭,SO Ji-sub,,
1,20198429,김윤진,KIM Yun-jin,,
2,20198429,나나,Nana,,
3,20198429,최광일,CHOI Gwang-il,,
4,20198429,박현숙,PARK Hyun-suk,,
0,20198461,이성민,LEE Sung-min,한필주,
1,20198461,남주혁,NAM Joo-hyuk,박인규,
2,20198461,박근형,PARK Keun-hyong,김치덕,
3,20198461,정만식,JUNG Man-sik,강형사,
4,20198461,윤제문,YOON Je-moon,김무진,
5,20198461,송영창,SONG Young-chang,정백진,
6,20198461,문창길,MUN Chang-gil,양교수,
7,20198461,박병호,,도조 히사시,
8,20198461,최민철,CHOI Min-cheol,김중사,
9,20198461,남문철,NAM Mun-cheol,팀장,
10,20198461,양현민,YANG Hyun-min,최진만,
11,20198461,박세현,PARK Se-hyun,한옥선,
12,20198461,윤우,,청년 필주,
13,20198461,박서연,PARK Seo-yeon,김세정,
14,20198461,하도권,,치덕 경호대장,
15,20198461,이승준,,박중사,
16,20198461,정한빈,,최형사,
17,20198461,박민이,,양주 순경1,
18,20198461,이서준,LEE Seo-jun,양주 순경2,
19,20198461,송유현,SONG You-hyun,백진처,
20,20198461,하영,,릴리,
21,20198461,김귀선,,문상1,
22,20198461,이창직,,재향군인회1,
23,20198461,남민우,,젊은 치덕,
24,20198461,이우성,,청년 양교수,
25,20198461,김우진,,젊은 히사시,
26,20198461,한사명,HAN Sa-myung,필주 형,
27,20198461,함희수,,어린 필주,
28,20198461,정순원,JEONG Soon-won,진상남,
29,20198461,김훈만,,그랜드볼룸 구급대원,
30,20198461,정영섭,,형사1,
31,20198461,이재혁,,형사2,
32,20198461,조태일,,형사3,
33,20198461,박성현,,그랜드볼룸 경호원,
34,20198461,공경배,,진만패거리1,
35,20198461,박혜영,,간호사1,
