,movieCd,auditNo,watchGradeNm
0,20200566,2022-MF02330 ,12세이상관람가
0,20208101,2022-MF02362 ,15세이상관람가
0,19900046,90-398,중학생이상관람가
0,19750143,,12세이상관람가
0,20226585,2022-MF02645 ,15세이상관람가
0,20198429,2020-MF02517,15세이상관람가
0,20198461,2022-MF02027,15세이상관람가
0,20224598,2022-MF02540 ,12세이상관람가
0,20227665,2022-MF02427 ,전체관람가
0,20170841,2018-MF00245,전체관람가
0,20211546,2022-MF02589 ,15세이상관람가
0,20217126,2022-MF01672,12세이상관람가
0,20224717,2022-MF01608 ,15세이상관람가
0,20217624,2022-MF02233,15세이상관람가
0,20211566,2022-MF01758,15세이상관람가
0,20192206,2019-MF02544,12세이상관람가
0,20211242,2022-MF02542,15세이상관람가
0,20219310,2021-MF01522,전체관람가
0,20209297,2021-MF03037,전체관람가
0,20216056,2022-MF02452 ,12세이상관람가
0,20200523,2022-MF02149,전체관람가
0,20227855,2022-MF02376 ,청소년관람불가
0,20206257,2022-MF01043,12세이상관람가
0,20209654,2022-MF01248,15세이상관람가
0,20226739,2022-MF02051 ,전체관람가
0,20191162,2022-MF01106 ,12세이상관람가
0,20212391,2022-MF01596 ,12세이상관람가
0,20209349,2022-MF02041 ,15세이상관람가
0,20227225,2022-MF02448,15세이상관람가
0,20209343,2022-MF01508,12세이상관람가
0,20226679,2022-MF02080 ,전체관람가
0,20193450,2020-MF01179 ,15세이상관람가
0,20225843,2022-MF01422 ,12세이상관람가
0,20226444,2022-MF02025,전체관람가
0,20201875,2022-MF00885 ,전체관람가
0,20217124,2022-MF02009 ,전체관람가
0,19940005,94-438,연소자관람불가
1,19940005,2022-MF02392 ,15세이상관람가
0,20226220,2022-MF02000 ,15세이상관람가
0,20209132,2022-MF02096,15세이상관람가
0,20226670,2022-MF02194 ,전체관람가
0,20227352,2022-MF01681 ,12세이상관람가
0,20216224,2022-MF01842,15세이상관람가
0,20212442,2022-MF02251,15세이상관람가
0,20100076,2010-F61,15세이상관람가
0,20209515,2021-MF00472,15세이상관람가
0,20178941,2017-MF01536,15세이상관람가
0,20020248,2002-F261,18세관람가
0,20219628,2022-MF02193 ,12세이상관람가
0,20101028,2010-F407,청소년관람불가
0,19910073,91-308,연소자관람불가
0,20181198,2019-MF00898,12세이상관람가
0,20162361,2018-MF00062,15세이상관람가
0,20010047,2001-F018,15세관람가
0,19960024,96-369,고등학생이상관람가
0,20175830,2017-MF01968,15세이상관람가
0,20126668,2012-F369,청소년관람불가
0,19748209,,
0,19898434,91-229,중학생이상관람가
0,19980133,97-222,고등학생이상관람가
0,20040690,2004-F287,18세관람가
1,20040690,2021-MF00086,청소년관람불가
0,20181105,2020-MF00260,12세이상관람가
0,20060125,2006-F125,15세관람가
0,19950024,95-123,연소자관람불가
0,20070435,2007-F381,12세이상관람가
0,20111774,2012-F146,15세이상관람가
0,20148846,2015-MF01012 ,12세이상관람가
0,20124079,2012-F610,15세이상관람가
0,20197434,2020-MF02940,12세이상관람가
0,20050333,2005-F342,15세이상관람가
0,20210029,2021-MF01551 ,12세이상관람가
0,20217826,2022-MF01810 ,12세이상관람가
0,20207566,2022-MF00499 ,전체관람가
0,20202254,2020-MF02596,15세이상관람가
0,20040745,2004-F327,전체관람가
0,20110279,2011-F311,전체관람가
0,20161589,2016-MF01274,청소년관람불가
1,20161589,2016-MF01275,청소년관람불가
0,20176104,2017-MF02246,12세이상관람가
0,20120426,2013-MF00126,15세이상관람가
0,20156559,2016-MF00546 ,15세이상관람가
0,20223985,2022-MF00982 ,12세이상관람가
0,20081395,2008-F376,청소년관람불가
0,20189067,2018-MF01507,15세이상관람가
0,20124054,2012-F738,15세이상관람가
0,20060006,2006-FDVD2,15세관람가
0,19950202,95-176,연소자관람불가
0,20030103,2003-F185,18세관람가
0,19969014,2000-F079,전체관람가
0,20010038,2001-F062,15세관람가
0,20211472,2022-MF02129,청소년관람불가
0,20090578,2009-F303,청소년관람불가
0,20227506,2022-MF02366 ,전체관람가
0,20169284,2019-MF02282,15세이상관람가
0,20219820,2021-MF01739,전체관람가
0,20223456,2022-MF00216 ,15세이상관람가
0,20215601,2022-MF01995 ,15세이상관람가
0,20211244,2022-MF02257,12세이상관람가
0,20197922,2020-MF01269,15세이상관람가
0,20209137,2021-MF01544,전체관람가
0,20196776,2019-MF01255 ,전체관람가
0,20225892,2022-MF01651,12세이상관람가
0,20211792,2022-MF01737,15세이상관람가
0,20162242,2016-MF01400,15세이상관람가
0,20218685,2021-MF01361 ,전체관람가
0,20080266,2009-F128,15세이상관람가
0,20192601,2021-MF01247,15세이상관람가
0,20217391,2022-MF00284,12세이상관람가
0,20209934,2021-MF02149,12세이상관람가
0,19970018,97-283,연소자관람불가
