,movieCd,companyCd,companyNm,companyNmEn,companyPartNm
0,20200566,20199901,한국예술종합학교 산학협력단,,제작사
1,20200566,20216561,(주)스튜디오디에이치엘,Studio dhL inc.,배급사
0,20208101,20169630,(주)쿠키픽쳐스,,제작사
1,20208101,20100285,판씨네마(주),Pancinema Corp.,배급사
2,20208101,20111211,(주)케이티알파,kt alpha,배급사
3,20208101,20111211,(주)케이티알파,kt alpha,제공
4,20208101,20111211,(주)케이티알파,kt alpha,해외세일즈사
0,19900046,20111077,동방영화사,,제작사
0,19750143,20114659,신프로덕션,,제작사
0,20226585,20100332,(주)영화제작전원사 ,Jeonwonsa Film Co.,제작사
1,20226585,20100332,(주)영화제작전원사 ,Jeonwonsa Film Co.,배급사
2,20226585,20142968,(주)콘텐츠판다,CONTENTS PANDA,배급사
0,20198429,20100540,리얼라이즈픽쳐스(주),"Realies Pictures, Inc.",제작사
1,20198429,20188021,롯데컬처웍스(주)롯데엔터테인먼트,Lotte Entertainment,배급사
2,20198429,20188021,롯데컬처웍스(주)롯데엔터테인먼트,Lotte Entertainment,제공
0,20198461,20126515,(주)영화사 월광,MOONLIGHT Film,제작사
1,20198461,20189281,(주)에이스메이커무비웍스,ACEMAKER MOVIEWORKS,배급사
2,20198461,20189281,(주)에이스메이커무비웍스,ACEMAKER MOVIEWORKS,제공
0,20224598,20217743,(주)고고스튜디오,,제작사
1,20224598,20063188,씨제이 씨지브이(CJ CGV)(주),CJ CGV,배급사
2,20224598,20229461,(주)바이포엠스튜디오,BY4MSTUDIO,제공
0,20227665,20217585,(주)위즈온센,"WYS en Scene Co., Ltd.",제작사
1,20227665,20204721,CGV ICECON,CGV ICECON,배급사
2,20227665,20110924,(주)판타지오, Fantagio,제공
3,20227665,20217585,(주)위즈온센,"WYS en Scene Co., Ltd.",제공
4,20227665,20111211,(주)케이티알파,kt alpha,제공
0,20170841,20061784,(주)영화사수박,"Watermelon Pictures Co., Ltd.",제작사
1,20170841,20141469,메가박스중앙(주)플러스엠,Megabox Plus M,배급사
2,20170841,20141469,메가박스중앙(주)플러스엠,Megabox Plus M,제공
0,20211546,20100572,한국영화아카데미,Korean Academy of Film Arts(KAFA),제작사
1,20211546,20061718,찬란,Challan Film,배급사
0,20217126,20217161,화원,film flowergarden,제작사
1,20217126,20228951,(주)더쿱디스트리뷰션,THE COUP DISTRIBUTION,배급사
0,20224717,20100572,한국영화아카데미,Korean Academy of Film Arts(KAFA),제작사
1,20224717,20188741,(주)트리플픽쳐스,Triple Pictures Inc.,배급사
0,20217624,20205261,(주)슬기로운늑대,"WiseWolf Co.,Ltd",제작사
1,20217624,20142369,(유)조이앤시네마,JOY N CINEMA,제작사
2,20217624,20161101,(주)제이앤씨미디어그룹,,배급사
3,20217624,20161101,(주)제이앤씨미디어그룹,,제공
0,20211566,20100572,한국영화아카데미,Korean Academy of Film Arts(KAFA),제작사
1,20211566,20061718,찬란,Challan Film,배급사
0,20192206,20192641,주식회사 덱스터 픽쳐스,"Dexter Pictures Co.,Ltd.  ",제작사
1,20192206,20140593,(주)퍼펙트스톰필름,Perfect Storm Film Inc.,제작사
2,20192206,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제작사
3,20192206,20110854,(주)씨제이이엔엠,CJ ENM Corp.,배급사
4,20192206,20160941,(주)덱스터스튜디오,"Dexter Studios Co., Ltd.",배급사
5,20192206,20110854,(주)씨제이이엔엠,CJ ENM Corp.,제공
6,20192206,20160941,(주)덱스터스튜디오,"Dexter Studios Co., Ltd.",제공
7,20192206,20100109,CJ ENM,CJ ENM,해외세일즈사
0,20211242,20203424,(주)영화사 설렘,,제작사
1,20211242,20217743,(주)고고스튜디오,,제작사
