,peopleCd,peopleNm,repRoleNm,filmoNames,movieCd
136,10006204,김한민,감독,한산: 용의 출현,20209343
137,20203375,오윤동,감독,한산: 용의 출현,20209343
201,10027774,민규동,감독,새해전야,20190323
202,10089855,홍지영,감독,새해전야,20190323
270,10067370,조철현,감독,나랏말싸미,20182490
311,10005151,김용화,감독,신과함께-죄와 벌,20150976
312,10054496,윤종석,감독,신과함께-죄와 벌,20150976
313,20189544,최용수,감독,신과함께-죄와 벌,20150976
344,10007424,나현,감독,프리즌,20162181
345,10080482,토마스 샌델,감독,프리즌,20162181
369,10027774,민규동,감독,"당신, 거기 있어줄래요",20152371
370,10089855,홍지영,감독,"당신, 거기 있어줄래요",20152371
473,20279209,최재훈,감독,검객,20178401
474,20348912,박준식,감독,검객,20178401
475,20144326,이란희,감독,검객,20178401
476,10090707,후카사쿠 킨지,감독,검객,20178401
531,10036861,손승현,감독,7월7일,20191121
609,10062136,정인봉,감독,질투의 역사,20183085
668,10087180,하원준,감독,난폭한 기록,20191845
718,20151358,김태훈,감독,포화속으로,20100296
719,10057235,이재한,감독,포화속으로,20100296
720,10062149,정인희,감독,포화속으로,20100296
762,20293590,김서영,감독,69세,20196701
763,20210671,김한울,감독,69세,20196701
764,20331072,임선애,감독,69세,20196701
835,20341917,고명일,감독,법피아,20191221
836,20325076,박두혁,감독,법피아,20191221
852,10002413,권수경,감독,맨발의 기봉이,20060005
853,10004407,김상만,감독,맨발의 기봉이,20060005
876,20238807,박선주,감독,간 큰 가족,20050064
877,10054492,윤제균,감독,간 큰 가족,20050064
878,10004407,김상만,감독,간 큰 가족,20050064
879,10065792,조명남,감독,간 큰 가족,20050064
880,10005032,김영탁,감독,간 큰 가족,20050064
881,10037027,송광호,감독,간 큰 가족,20050064
896,10026426,모지은,감독,해적 디스코왕 되다,20020164
897,10058831,임진순,감독,해적 디스코왕 되다,20020164
898,20302409,김영석,감독,해적 디스코왕 되다,20020164
899,10008226,노진수,감독,해적 디스코왕 되다,20020164
900,10003971,김동원,감독,해적 디스코왕 되다,20020164
1003,10057103,이일형,감독,리멤버,20198461
1004,10054495,윤종빈,감독,리멤버,20198461
1005,20312215,이가령,감독,리멤버,20198461
1006,20138721,안나 저스티스,감독,리멤버,20198461
1011,10006413,김호선,감독,죽음보다 깊은 잠,19790068
1056,10071587,창,감독,표적,20139164
1057,10071587,창,감독,표적,19770048
1058,20196126,이인혁,감독,표적,20139164
1059,20196126,이인혁,감독,표적,19770048
1060,10072851,최하원,감독,표적,20139164
1061,10072851,최하원,감독,표적,19770048
1062,10064623,제프 버로우즈,감독,표적,20139164
1063,10064623,제프 버로우즈,감독,표적,19770048
1067,10072874,최현민,감독,젊은 도시,19760030
1073,10058483,임권택,감독,연화,19740136
1074,20112657,임성현,감독,연화,19740136
1079,10058483,임권택,감독,속 연화,19740137
1089,10003717,김기영,감독,파계,20080895
1090,10062315,정창화,감독,파계,20080895
1091,10057805,이치카와 콘,감독,파계,20080895
1092,10084985,프레드 진네만,감독,파계,20080895
1145,20128609,이승준,감독,리미트,20208721
1146,20111176,신재호,감독,리미트,20208721
1181,20231007,봉준영,감독,럭키 몬스터,20196672
