,movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors,companys
0,20200566,거래완료,Good Deal,2020.0,20221006.0,장편,개봉,한국,드라마,한국,드라마,조경호,한국예술종합학교 산학협력단
1,20208101,대무가,DAEMUGA,2022.0,20221012.0,장편,개봉,한국,"드라마,코미디",한국,드라마,이한종,(주)쿠키픽쳐스
2,19900046,사랑은 지금부터 시작이야,This Is The Beginning Of Love,1990.0,19910112.0,장편,개봉,한국,드라마,한국,드라마,이미례,동방영화사
3,19750143,미인,A Beauty,1975.0,19750830.0,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이형표,신프로덕션
4,20226585,탑,WALK UP,2022.0,20221103.0,장편,개봉예정,한국,드라마,한국,드라마,홍상수,(주)영화제작전원사 
5,20198429,자백,Confession,2020.0,20221026.0,장편,개봉,한국,"범죄,스릴러",한국,범죄,윤종석,리얼라이즈픽쳐스(주)
6,20198461,리멤버,REMEMBER,2020.0,20221026.0,장편,개봉,한국,드라마,한국,드라마,이일형,(주)영화사 월광
7,20224598,동감,Ditto,2022.0,20221116.0,장편,개봉예정,한국,멜로/로맨스,한국,멜로/로맨스,서은영,(주)고고스튜디오
8,20227665,스타게이저: 아스트로스코프,STARGAZER: ASTROSCOPE,2022.0,20221027.0,장편,개봉,한국,"공연,다큐멘터리",한국,공연,도하,(주)위즈온센
9,20170841,리틀 포레스트,Little Forest,2018.0,20180228.0,장편,개봉,한국,드라마,한국,드라마,임순례,(주)영화사수박
10,20211546,같은 속옷을 입는 두 여자,The Apartment with Two Women,2021.0,20221110.0,장편,개봉예정,한국,드라마,한국,드라마,김세인,한국영화아카데미
11,20217126,첫번째 아이,First Child,2021.0,20221110.0,장편,개봉예정,한국,드라마,한국,드라마,허정재,화원
12,20224717,썬더버드,THUNDERBIRD,2021.0,20220921.0,장편,개봉,한국,드라마,한국,드라마,이재원,한국영화아카데미
13,20217624,컴백홈,Come Back Home,2022.0,20221005.0,장편,개봉,한국,"드라마,코미디",한국,드라마,이연우,(주)슬기로운늑대
14,20211566,낮과 달,The Cave,2021.0,20221020.0,장편,개봉,한국,드라마,한국,드라마,이영아,한국영화아카데미
15,20192206,백두산,ASHFALL,2019.0,20191219.0,장편,개봉,한국,"어드벤처,드라마",한국,어드벤처,이해준,주식회사 덱스터 픽쳐스
16,20211242,고속도로 가족,Highway Family,2022.0,20221102.0,장편,개봉예정,한국,드라마,한국,드라마,이상문,(주)영화사 설렘
17,20219310,말임씨를 부탁해,Take Care of My Mom,2021.0,20220413.0,장편,개봉,한국,드라마,한국,드라마,박경목,(주)파란오이
18,20209297,니얼굴,Please Make Me Look Pretty,2020.0,20220623.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,서동일,두물머리픽쳐스
19,20216056,창밖은 겨울,When Winter Comes,2020.0,20221124.0,장편,개봉예정,한국,"드라마,멜로/로맨스",한국,드라마,이상진,끼리끼리 필름
20,20200523,물방울을 그리는 남자,The Man Who Paints Water Drops,2021.0,20220928.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김오안,(주)미루픽처스
21,20227855,애인교환커플섹스-무삭제,an exchange of lovers' sex,2022.0,20221019.0,장편,개봉,한국,성인물(에로),한국,성인물(에로),김레이,스마일컨텐츠
22,20206257,브로커,Broker,2022.0,20220608.0,장편,개봉,한국,드라마,한국,드라마,고레에다 히로카즈,영화사 집
23,20209654,헤어질 결심,Decision to Leave,2022.0,20220629.0,장편,개봉,한국,"미스터리,멜로/로맨스",한국,미스터리,박찬욱,(주)모호필름
24,20226739,고고다이노 극장판: 얼음공룡의 비밀,GOGODINO EXPLORERS MOVIE : FROZEN DINO'S SECRETS,2022.0,20221005.0,장편,개봉,한국,애니메이션,한국,애니메이션,이선명,(주)모꼬지
25,20191162,녹턴,Nocturne,2019.0,20220818.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,정관조,미디어나무
26,20212391,2차 송환,The 2nd Repatriation,2022.0,20220929.0,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김동원,푸른영상
27,20209349,나를 죽여줘,Kill me now,2020.0,20221019.0,장편,개봉,한국,드라마,한국,드라마,최익환,(주)영화사이다
28,20227225,귀못,Devil in the lake,2022.0,20221019.0,장편,개봉,한국,공포(호러),한국,공포(호러),탁세웅,KBS
29,20209343,한산: 용의 출현,Hansan: Rising Dragon,2021.0,20220727.0,장편,개봉,한국,"액션,드라마",한국,액션,김한민,(주)빅스톤픽쳐스
30,20226679,쥬라기캅스 극장판: 공룡시대 대모험,Jurassic Cops Theatrical Version: The Great Adventure of the Age of Dinosaurs,2022.0,20220907.0,장편,개봉,한국,애니메이션,한국,애니메이션,김호락,(주)스튜디오버튼 
31,20193450,반도,Peninsula,2020.0,20200715.0,장편,개봉,한국,"액션,드라마",한국,액션,연상호,(주)영화사레드피터
32,20225843,투란도트 어둠의 왕국,Turandot,2021.0,20220818.0,장편,개봉,한국,뮤지컬,한국,뮤지컬,김시우,(주)나인테일즈코리아
33,20226444,극장판 엄마 까투리: 도시로 간 까투리 가족,KATURI the Movie: The Big City Adventure,2019.0,20220908.0,장편,개봉,한국,애니메이션,한국,애니메이션,정길훈,(주)퍼니플럭스
34,20201875,선데이리그,Sunday League,2020.0,20221005.0,장편,개봉,한국,코미디,한국,코미디,이성일,선데이시네마
35,20217124,성적표의 김민영,Kim Min-young of the Report Card,2021.0,20220908.0,장편,개봉,한국,드라마,한국,드라마,이재은,탁구필름
36,19940005,젊은 남자,The Young Man,1994.0,19941217.0,장편,개봉,한국,드라마,한국,드라마,배창호,배창호프로덕션
37,20226220,둠둠,Doom Doom,2021.0,20220915.0,장편,개봉,한국,드라마,한국,드라마,정원희,(주)이스트게이트컴퍼니
38,20209132,달이 지는 밤,Vestige,2020.0,20220922.0,장편,개봉,한국,드라마,한국,드라마,김종관,(재)무주산골문화재단
39,20226670,극장판 헬로카봇: 수상한 마술단의 비밀,Hello Carbot the Movie: The Secret of the Suspicious Magic Troupe,2022.0,20220928.0,장편,개봉,한국,애니메이션,한국,애니메이션,최신규,(주)초이락컨텐츠컴퍼니
40,20227352,주연,Ju Yeon,2022.0,20220929.0,장편,개봉,한국,"드라마,미스터리",한국,드라마,송원준,영화사 퐑
41,20216224,오! 마이 고스트,Oh! My Ghost,2022.0,20220915.0,장편,개봉,한국,"코미디,공포(호러)",한국,코미디,홍태선,한국영상대학교
42,20212442,애프터 미투,#AfterMeToo,2021.0,20221006.0,옴니버스,개봉,한국,다큐멘터리,한국,다큐멘터리,박소현,애프터 미투 프로젝트 팀
43,20100076,밀크,Milk,2008.0,20100225.0,장편,개봉,미국,드라마,미국,드라마,구스 반 산트,포커스피쳐스
44,20209515,메이드 인 루프탑,Made On The Rooftop,2020.0,20210623.0,장편,개봉,한국,"드라마,멜로/로맨스,코미디",한국,드라마,김조광수,(주)레인보우팩토리
45,20178941,시인의 사랑,The Poet and The Boy,2017.0,20170914.0,장편,개봉,한국,드라마,한국,드라마,김양희,(주)영화사진
46,20020248,로드무비,Road Movie,2002.0,20021017.0,장편,개봉,한국,드라마,한국,드라마,김인식,(주)싸이더스
47,20219628,정직한 후보2,Honest Candidate 2,2022.0,20220928.0,장편,개봉,한국,코미디,한국,코미디,장유정,(주)수필름
