,name,id,movieId
1,Pixar Animation Studios,3,862.0
1,TriStar Pictures,559,8844.0
1,Warner Bros.,6194,15602.0
1,Twentieth Century Fox Film Corporation,306,31357.0
1,Sandollar Productions,5842,11862.0
1,Regency Enterprises,508,949.0
1,Paramount Pictures,4,11860.0
1,Walt Disney Pictures,2,45325.0
1,Universal Pictures,33,9091.0
1,United Artists,60,710.0
1,Columbia Pictures,5,9087.0
1,Columbia Pictures,5,12110.0
1,Universal Pictures,33,21032.0
1,Hollywood Pictures,915,10858.0
1,Le Studio Canal+,183,1408.0
1,Universal Pictures,33,524.0
1,Columbia Pictures Corporation,441,4584.0
1,Miramax Films,14,5.0
1,O Entertainment,5682,9273.0
1,Columbia Pictures,5,11517.0
1,Jersey Films,216,8012.0
1,Regency Enterprises,508,1710.0
1,Silver Pictures,1885,9691.0
1,Caravan Pictures,175,12665.0
1,United Artists,60,451.0
1,Columbia Pictures,5,16420.0
1,New Line Cinema,12,9263.0
1,BBC Films,288,17015.0
1,Hollywood Pictures,915,9909.0
1,Universal Pictures,33,63.0
1,Universal Pictures,33,9598.0
1,StudioCanal,694,47018.0
1,Havoc,406,687.0
1,Sony New Technologies,53390,139405.0
1,Dualstar Productions,6130,33689.0
1,Paramount Pictures,4,9603.0
1,Miramax,53009,34615.0
1,British Screen,871,31174.0
1,Caravan Pictures,175,11443.0
1,Miramax Films,14,35196.0
1,New Line Cinema,12,9312.0
1,The Rank Organisation,364,577.0
1,Universal Pictures,33,11861.0
1,New Line Cinema,12,807.0
1,Walt Disney Pictures,2,10530.0
1,Alliance Communications Corporation,2480,8391.0
1,Blue Parrot Productions,361,629.0
1,Miramax Films,14,11448.0
1,Walt Disney Pictures,2,26441.0
1,Miramax Films,14,97406.0
1,Paramount Pictures,4,9089.0
1,Paramount Pictures,4,11359.0
1,Paramount Pictures,4,17182.0
1,Hollywood Pictures,915,2054.0
1,Miramax Films,14,10607.0
1,Warner Bros.,6194,19760.0
1,Metro-Goldwyn-Mayer (MGM),8411,9536.0
1,New Line Cinema,12,11525.0
1,Miramax Films,14,40628.0
1,New Line Cinema,12,10634.0
1,A Band Apart,59,755.0
1,Silver Pictures,1885,11859.0
1,Castleberg Productions,5841,28387.0
1,New Line Cinema,12,20927.0
1,Warner Bros.,6194,36929.0
1,The Movie Network (TMN),3388,9102.0
1,Zweites Deutsches Fernsehen (ZDF),4606,124626.0
1,Miramax Films,14,27526.0
1,Columbia Pictures Corporation,441,9623.0
1,Miramax Films,14,400.0
1,BET Pictures,38196,146599.0
1,Playhouse International Pictures,2492,8447.0
1,Hollywood Pictures,915,10534.0
1,Twentieth Century Fox Film Corporation,306,17414.0
1,Paramount Pictures,4,13997.0
1,Paramount Pictures,4,2086.0
1,Miramax Films,14,61548.0
1,TriStar Pictures,559,9095.0
1,Paramount Pictures,4,12158.0
1,Miramax Films,14,9283.0
1,Twentieth Century Fox Film Corporation,306,9208.0
1,Castle Rock Entertainment,97,40154.0
1,Channel Four Films,181,45549.0
1,British Broadcasting Corporation (BBC),3324,63076.0
1,Columbia Pictures,5,11062.0
1,Gracie Films,18,13685.0
1,Touchstone Pictures,9195,47475.0
1,Metro-Goldwyn-Mayer (MGM),8411,2045.0
1,Universal Pictures,33,9614.0
1,Amblin Entertainment,56,688.0
1,Walt Disney Pictures,2,10874.0
1,Icon Entertainment International,4564,197.0
1,Columbia Pictures Corporation,441,103.0
1,Caravan Pictures,175,43566.0
1,Téléfilm Canada,806,71754.0
1,France 2 Cinéma,83,43612.0
1,Bavaria Film and Television Fund,3236,16934.0
1,TriStar Pictures,559,10324.0
1,Savoy Pictures,11308,78406.0
1,TriStar Pictures,559,55731.0
1,Paramount Pictures,4,11066.0
1,Miramax Films,14,2074.0
1,Studio Babelsberg,264,27793.0
1,Paramount Pictures,4,11863.0
1,Twentieth Century Fox Film Corporation,306,9101.0
1,Couch Potatoe Productions,68229,123360.0
1,Channel Four Films,181,39428.0
1,Cinergi Pictures Entertainment,1504,9302.0
1,United Artists,60,11000.0
1,Fox Searchlight Pictures,43,16388.0
1,Columbia Pictures,5,9737.0
1,Warner Bros.,6194,30765.0
1,New Line Cinema,12,10474.0
1,Fine Line Features,8,22279.0
1,Channel Four Films,181,30157.0
1,Imagine Entertainment,23,568.0
1,United Artists,60,11780.0
1,October Films,236,34996.0
1,Warner Bros.,6194,414.0
1,Columbia Pictures,5,1873.0
1,Miramax Films,14,5894.0
1,PolyGram Filmed Entertainment,1382,1775.0
1,Universal Pictures,33,8839.0
1,Universal Pictures,33,20649.0
1,Paramount Pictures,4,10329.0
1,Hollywood Pictures,915,8963.0
1,Superior Pictures,4532,26564.0
1,Columbia Pictures,5,8068.0
1,TriStar Pictures,559,8512.0
1,Twentieth Century Fox Film Corporation,306,1572.0
1,Why Not Productions,729,13552.0
1,Touchstone Pictures,9195,259209.0
1,Columbia Pictures Corporation,441,6520.0
1,Regency Enterprises,508,9073.0
1,United Artists,60,10428.0
1,The Booking Office,12909,17447.0
1,TriStar Pictures,559,9886.0
1,Hollywood Pictures,915,9482.0
1,TriStar Pictures,559,19326.0
1,Miramax Films,14,9344.0
1,JDI productions,13187,9071.0
1,United Artists,60,8973.0
1,The Ontario Film Development Corporation,1203,15730.0
1,Touchstone Pictures,9195,47608.0
1,Universal Pictures,33,2293.0
1,Twentieth Century Fox Film Corporation,306,9070.0
1,PolyGram Filmed Entertainment,1382,68274.0
1,Comet Film Produktion GmbH,16561,48787.0
1,Kino Link Company,37897,34574.0
1,Columbia Pictures,5,1642.0
1,Twentieth Century Fox Film Corporation,306,11472.0
1,Party Productions,37890,36196.0
1,Dimension Films,7405,11980.0
1,Playhouse International Pictures,2492,58372.0
1,Killer Films,1422,32646.0
1,Hollywood Pictures,915,10533.0
1,United Artists,60,10802.0
1,Miramax Films,14,10149.0
1,Spring Creek Productions,705,18402.0
1,Metro-Goldwyn-Mayer (MGM),8411,9348.0
1,Malpaso Productions,171,139408.0
1,Lightstorm Entertainment,574,281.0
1,Hollywood Pictures,915,79593.0
1,Savoy Pictures,11308,47939.0
1,Société Française de Production (SFP),6849,36834.0
1,Universal Pictures,33,9090.0
1,Regency Enterprises,508,3512.0
1,Hollywood Pictures,915,52856.0
1,Twentieth Century Fox Film Corporation,306,9560.0
1,Universal Pictures,33,9804.0
1,HBO,6068,31611.0
1,United Artists,60,65796.0
1,Paramount Pictures,4,49805.0
1,Twentieth Century Fox Film Corporation,306,26258.0
1,PolyGram Audiovisuel,6367,19155.0
1,Detour Film Production,98,76.0
1,Jack Giarraputo Productions,6365,11017.0
1,Spelling Films International,18189,37141.0
1,Regency Enterprises,508,9382.0
1,Universal Pictures,33,6715.0
1,Full Moon Entertainment,4867,18256.0
1,The Rank Organisation,364,22625.0
1,Miramax Films,14,2292.0
1,New Line Cinema,12,1909.0
1,Warner Bros.,6194,8984.0
1,Keystone Pictures,15709,61813.0
1,Paramount Pictures,4,4954.0
1,Fine Line Features,8,10531.0
1,Castle Rock Entertainment,97,11929.0
1,New Line Cinema,12,8467.0
1,Miramax Films,14,20156.0
1,Savoy Pictures,11308,18395.0
1,Touchstone Pictures,9195,522.0
1,Twentieth Century Fox Film Corporation,306,397.0
1,Columbia Pictures,5,10525.0
1,Twentieth Century Fox Film Corporation,306,27985.0
1,Walt Disney Pictures,2,15789.0
1,TriStar Pictures,559,27303.0
1,Metro-Goldwyn-Mayer,21,21183.0
1,Miramax Films,14,72031.0
1,Fine Line Features,8,14275.0
1,WingNut Films,11,1024.0
1,Caravan Pictures,175,17207.0
1,Columbia Pictures,5,13701.0
1,Walt Disney Pictures,2,14819.0
1,Universal Pictures,33,32631.0
1,Paramount Pictures,4,11777.0
1,Geffen Pictures,360,628.0
1,Merchant Ivory Productions,2370,87729.0
1,Caravan Pictures,175,18713.0
1,Universal Pictures,33,6280.0
1,Fountainbridge Films,414,9061.0
1,Walt Disney Pictures,2,37108.0
1,Twentieth Century Fox Film Corporation,306,6071.0
1,Lucasfilm,1,11.0
1,Columbia Pictures,5,9587.0
1,Warner Bros.,6194,19101.0
1,Channel Four Films,181,49980.0
1,Bedford Falls Productions,348,4476.0
1,Universal Pictures,33,11008.0
1,Fine Line Features,8,47504.0
1,Channel Four Films,181,32325.0
1,Warner Bros.,6194,43742.0
1,Paramount Pictures,4,28313.0
1,Channel Four Films,181,11318.0
1,American Zoetrope,70,3036.0
1,Walt Disney Pictures,2,40490.0
1,TriStar Pictures,559,24070.0
1,Paramount Pictures,4,8986.0
1,Twentieth Century Fox Film Corporation,306,10510.0
1,Hollywood Pictures,915,17402.0
1,American Zoetrope,70,38722.0
1,Wolper Organization,2428,8438.0
1,Paramount Pictures,4,11593.0
1,Twentieth Century Fox Film Corporation,306,1945.0
1,40 Acres & A Mule Filmworks,4319,39310.0
1,TOEI,7260,109560.0
1,Metrodome Films,11139,56428.0
1,Filmwerks,7954,63105.0
1,Triumph Films,23098,131957.0
1,Regency Enterprises,508,241.0
1,TriStar Pictures,559,9058.0
1,Avalon Studios,293,527.0
1,New Line Cinema,12,18220.0
1,Kopelson Entertainment,824,6950.0
1,"Samuel Goldwyn Company, The",28205,63020.0
1,Hollywood Pictures,915,2307.0
1,Miramax Films,14,680.0
1,Polygram Filmed Entertainment,31080,41478.0
1,BBC Films,288,40156.0
1,Wildwood Enterprises,316,11450.0
1,Cecile Company,84839,30304.0
1,TriStar Pictures,559,12106.0
1,Miramax Films,14,3586.0
1,Allegro Films,4899,92769.0
1,Paramount Pictures,4,28033.0
1,Rich Animation Studios,4108,22586.0
1,Jones Entertainment Group,29272,14334.0
1,Jerry Weintraub Productions,2596,2636.0
1,Centropolis Entertainment,347,2164.0
1,Walt Disney Pictures,2,11395.0
1,Castle Rock Entertainment,97,278.0
1,Channel Four Films,181,9905.0
1,Kino Korsakoff,78701,87078.0
1,Cineville,2832,20306.0
1,Samuel Goldwyn Company,798,36614.0
1,New Line Cinema,12,27993.0
1,Trilogy Entertainment Group,2231,9067.0
1,Universal Pictures,33,9059.0
1,Paramount Pictures,4,193.0
1,40 Acres & A Mule Filmworks,4319,25066.0
1,Universal Pictures,33,12122.0
1,Paramount Pictures,4,11381.0
1,Sony Pictures Classics,58,32636.0
1,Populist Pictures,14729,36141.0
1,Savoy Pictures,11308,95963.0
1,Paramount Pictures,4,1587.0
1,Paramount Pictures,4,9271.0
1,Caravan Pictures,175,2064.0
1,Universal Pictures,33,19855.0
1,Fine Line Features,8,60855.0
1,Ciby 2000,105,236.0
1,Columbia Pictures Corporation,441,48287.0
1,Warner Bros.,6194,3049.0
1,PolyGram Filmed Entertainment,1382,2759.0
1,Gramercy Pictures,37,12635.0
1,Fine Line Features,8,10497.0
1,Miramax Films,14,11382.0
1,Paramount Pictures,4,9331.0
1,Regency Enterprises,508,10731.0
1,New Line Cinema,12,10464.0
1,Universal Pictures,33,34152.0
1,Miramax Films,14,9495.0
1,Regency Enterprises,508,29973.0
1,Universal Pictures,33,888.0
1,Paramount Pictures,4,13.0
1,Channel Four Films,181,712.0
1,Columbia Pictures Corporation,441,16295.0
1,Columbia Pictures Corporation,441,48992.0
1,Caravan Pictures,175,10879.0
1,TriStar Pictures,559,10660.0
1,Channel Four Films,181,41647.0
1,Walt Disney Pictures,2,8587.0
1,Miramax Films,14,1689.0
1,New Line Cinema,12,11596.0
1,New Line Cinema,12,854.0
1,Icon Entertainment International,4564,9359.0
1,Fine Line Features,8,23333.0
1,Paramount Pictures,4,36593.0
1,Imagine Entertainment,23,12280.0
1,Universal Pictures,33,2788.0
1,Propaganda Films,278,10427.0
1,Davis Entertainment,1302,11011.0
1,New Line Cinema,12,49803.0
1,Universal Pictures,33,8987.0
1,Twentieth Century Fox Film Corporation,306,1637.0
1,Metro-Goldwyn-Mayer (MGM),8411,15128.0
1,Universal Pictures,33,8831.0
1,Twentieth Century Fox Film Corporation,306,36955.0
1,Touchstone Pictures,9195,10449.0
1,Columbia Pictures,5,10395.0
1,Tig Productions,335,12160.0
1,Touchstone Pictures,9195,40480.0
1,BBC Films,288,52038.0
1,Gramercy Pictures,37,29444.0
1,Caravan Pictures,175,26352.0
1,Strand Releasing,3923,39953.0
1,Eve Productions Inc.,170,315.0
1,Bolex Brothers,6215,18242.0
1,Universal Pictures,33,11667.0
1,Propaganda Films,278,32502.0
1,Live Entertainment,285,28732.0
1,A-Pix Entertainment,14280,75555.0
1,Walt Disney Pictures,2,42981.0
1,Overseas FilmGroup,888,278939.0
1,Skyline Entertainment Partners,38179,291731.0
1,Home Box Office (HBO),3268,203119.0
1,Trans-Film,2662,8011.0
1,New Line Cinema,12,2654.0
1,New Line Cinema,12,18069.0
1,New Line Cinema,12,19092.0
1,Paramount Pictures,4,2758.0
1,HBO Independent Productions,21222,38129.0
1,Columbia Pictures,5,10436.0
1,Twentieth Century Fox Film Corporation,306,13595.0
1,Hollywood Pictures,915,46094.0
1,Touchstone Pictures,9195,9409.0
1,Twentieth Century Fox Film Corporation,306,11853.0
1,Fine Line Features,8,16771.0
1,Warner Bros.,6194,46924.0
1,Twentieth Century Fox Film Corporation,306,11041.0
1,Paramount Pictures,4,306.0
1,Warner Bros.,6194,14522.0
1,New Line Cinema,12,26203.0
1,Trilogy Entertainment Group,2231,178.0
1,Paramount Pictures,4,19819.0
1,Orion Pictures Corporation,14150,57834.0
1,Warner Bros.,6194,4722.0
1,Mainline Pictures,70969,18215.0
1,HBO Films,7429,1607.0
1,Touchstone Pictures,9195,26391.0
1,Columbia Pictures,5,117553.0
1,Universal Pictures,33,6075.0
1,Columbia Pictures,5,11310.0
1,Metro-Goldwyn-Mayer (MGM),8411,18658.0
1,TriStar Pictures,559,9350.0
1,Paramount Pictures,4,9612.0
1,Hollywood Pictures,915,2124.0
1,TriStar Pictures,559,26261.0
1,Imagine Entertainment,23,19176.0
1,Metro-Goldwyn-Mayer (MGM),8411,49299.0
1,Donner/Shuler-Donner Productions,5739,11566.0
1,Gramercy Pictures,37,9571.0
1,Silver Pictures,1885,9739.0
1,Fine Line Features,8,34444.0
1,Metro-Goldwyn-Mayer (MGM),8411,26141.0
1,Orion Pictures,41,50463.0
1,Spring Creek Productions,705,10443.0
1,Spring Creek Productions,705,16297.0
1,Paramount Pictures,4,18551.0
1,Fine Line Features,8,25440.0
1,Universal Studios,13,9024.0
1,Paramount Pictures,4,37233.0
1,Canal Plus,104,1634.0
1,Miramax Films,14,13815.0
1,Warner Bros.,6194,5503.0
1,Columbia Pictures,5,35588.0
1,Universal Pictures,33,2087.0
1,Metro-Goldwyn-Mayer (MGM),8411,41579.0
1,Killer Films,1422,18620.0
1,Gramercy Pictures,37,41006.0
1,Hollywood Pictures,915,4916.0
1,Universal Pictures,33,2019.0
1,Regency Enterprises,508,31642.0
1,Twentieth Century Fox Film Corporation,306,9255.0
1,Spelling Entertainment,272,26271.0
1,Miramax Films,14,10612.0
1,Det Danske Filminstitut,118,2259.0
1,PolyGram Filmed Entertainment,1382,11934.0
1,Gracie Films,18,106143.0
1,Hollywood Pictures,915,12475.0
1,Castle Rock Entertainment,97,9386.0
1,Universal Pictures,33,7984.0
1,Touchstone Pictures,9195,59930.0
1,Touchstone Pictures,9195,15765.0
1,Paramount Pictures,4,31643.0
1,Universal Pictures,33,6.0
1,Universal Pictures,33,329.0
1,Propaganda Films,278,10909.0
1,Live Entertainment,285,507.0
1,Gramercy Pictures,37,34024.0
1,Paramount Pictures,4,29918.0
1,Columbia Pictures Corporation,441,9593.0
1,Touchstone Pictures,9195,42580.0
1,Savoy Pictures,11308,22317.0
1,Geffen Pictures,360,1413.0
1,Regency Enterprises,508,12121.0
1,Columbia Pictures,5,2246.0
1,Icon Entertainment International,4564,10502.0
1,TriStar Pictures,559,10440.0
1,New Line Cinema,12,9516.0
1,Silver Pictures,1885,2320.0
1,The Samuel Goldwyn Company,8888,83718.0
1,Renaissance Films,3102,11971.0
1,TriStar Pictures,559,2625.0
1,Warner Bros.,6194,31911.0
