,name,id,movieId
1,Pixar Animation Studios,3,862.0
1,TriStar Pictures,559,8844.0
1,Teitler Film,2550,8844.0
1,Interscope Communications,10201,8844.0
1,Warner Bros.,6194,15602.0
1,Lancaster Gate,19464,15602.0
1,Twentieth Century Fox Film Corporation,306,31357.0
1,Sandollar Productions,5842,11862.0
1,Touchstone Pictures,9195,11862.0
1,Regency Enterprises,508,949.0
1,Forward Pass,675,949.0
1,Warner Bros.,6194,949.0
1,Paramount Pictures,4,11860.0
1,Scott Rudin Productions,258,11860.0
1,Mirage Enterprises,932,11860.0
1,Sandollar Productions,5842,11860.0
1,Constellation Entertainment,14941,11860.0
1,Worldwide,55873,11860.0
1,Mont Blanc Entertainment GmbH,58079,11860.0
1,Walt Disney Pictures,2,45325.0
1,Universal Pictures,33,9091.0
1,Imperial Entertainment,21437,9091.0
1,Signature Entertainment,23770,9091.0
1,United Artists,60,710.0
1,Eon Productions,7576,710.0
1,Columbia Pictures,5,9087.0
1,Castle Rock Entertainment,97,9087.0
1,Columbia Pictures,5,12110.0
1,Castle Rock Entertainment,97,12110.0
1,Enigma Pictures,6368,12110.0
1,Universal Pictures,33,21032.0
1,Amblin Entertainment,56,21032.0
1,Amblimation,4105,21032.0
1,Hollywood Pictures,915,10858.0
1,Cinergi Pictures Entertainment,1504,10858.0
1,Le Studio Canal+,183,1408.0
1,Laurence Mark Productions,415,1408.0
1,Metro-Goldwyn-Mayer (MGM),8411,1408.0
1,Carolco Pictures,14723,1408.0
1,Universal Pictures,33,524.0
1,Légende Entreprises,10898,524.0
1,Syalis DA,11583,524.0
1,De Fina-Cappa,11584,524.0
1,Columbia Pictures Corporation,441,4584.0
1,Mirage Enterprises,932,4584.0
1,Miramax Films,14,5.0
1,A Band Apart,59,5.0
1,O Entertainment,5682,9273.0
1,Warner Bros.,6194,9273.0
1,Morgan Creek Productions,10210,9273.0
1,Columbia Pictures,5,11517.0
1,Jersey Films,216,8012.0
1,Metro-Goldwyn-Mayer (MGM),8411,8012.0
1,Regency Enterprises,508,1710.0
1,New Regency Pictures,10104,1710.0
1,Silver Pictures,1885,9691.0
1,Canal+,5358,9691.0
1,Warner Bros.,6194,9691.0
1,Dino De Laurentiis Company,10308,9691.0
1,Donner/Shuler-Donner Productions,23397,9691.0
1,Evansgideon/Lazar,25061,9691.0
1,Caravan Pictures,175,12665.0
1,Hollywood Pictures,915,12665.0
1,United Artists,60,451.0
1,Intial Productions,15547,451.0
1,Columbia Pictures,5,16420.0
1,Castle Rock Entertainment,97,16420.0
1,New Line Cinema,12,9263.0
1,BBC Films,288,17015.0
1,Hollywood Pictures,915,9909.0
1,Via Rosa Productions,10103,9909.0
1,Don Simpson/Jerry Bruckheimer Films,10288,9909.0
1,Universal Pictures,33,63.0
1,Atlas Entertainment,507,63.0
1,Classico,17031,63.0
1,Universal Pictures,33,9598.0
1,Kennedy Miller Productions,2537,9598.0
1,StudioCanal,694,47018.0
1,Cinéa,874,47018.0
1,Euston Films,8363,47018.0
1,Freeway Films,19316,47018.0
1,European Co-production Fund,30226,47018.0
1,Polygram Filmed Entertainment,31080,47018.0
1,Orsans Productions,44821,47018.0
1,Havoc,406,687.0
1,PolyGram Filmed Entertainment,1382,687.0
1,Working Title Films,10163,687.0
1,Sony New Technologies,53390,139405.0
1,Dualstar Productions,6130,33689.0
1,Warner Bros.,6194,33689.0
1,Rysher Entertainment,11661,33689.0
1,Orr & Cruickshank,89131,33689.0
1,Paramount Pictures,4,9603.0
1,Miramax,53009,34615.0
1,Distant Horizon,85681,34615.0
1,Alpine Pty Limited,89840,34615.0
1,British Screen,871,31174.0
1,Mayfair Entertainment International,34237,31174.0
1,Caravan Pictures,175,11443.0
1,Underworld Entertainment,476,11443.0
1,Hollywood Pictures,915,11443.0
1,Miramax Films,14,35196.0
1,New Line Cinema,12,9312.0
1,Threshold Entertainment,4174,9312.0
1,The Rank Organisation,364,577.0
1,Columbia Pictures Corporation,441,577.0
1,Universal Pictures,33,11861.0
1,Amblin Entertainment,56,11861.0
1,New Line Cinema,12,807.0
1,Juno Pix,4286,807.0
1,Cecchi Gori Pictures,65394,807.0
1,Walt Disney Pictures,2,10530.0
1,Walt Disney Feature Animation,10217,10530.0
1,Alliance Communications Corporation,2480,8391.0
1,Blue Parrot Productions,361,629.0
1,Bad Hat Harry Productions,9168,629.0
1,Miramax Films,14,11448.0
1,Magnolia Pictures,1030,11448.0
1,Walt Disney Pictures,2,26441.0
1,Caravan Pictures,175,26441.0
1,Miramax Films,14,97406.0
1,CiBy 2000,7832,97406.0
1,Paramount Pictures,4,9089.0
1,Egg Pictures,802,9089.0
1,PolyGram Filmed Entertainment,1382,9089.0
1,Paramount Pictures,4,11359.0
1,Columbia Pictures Corporation,441,11359.0
1,The Kennedy/Marshall Company,862,11359.0
1,Paramount Pictures,4,17182.0
1,Hollywood Pictures,915,2054.0
1,The Charlie Mopic Company,916,2054.0
1,PolyGram Filmed Entertainment,1382,2054.0
1,Interscope Communications,10201,2054.0
1,Miramax Films,14,10607.0
1,Island Pictures,3492,10607.0
1,Ivory Way Productions,5441,10607.0
1,Warner Bros.,6194,19760.0
1,Morgan Creek Productions,10210,19760.0
1,Metro-Goldwyn-Mayer (MGM),8411,9536.0
1,Motion Picture Corporation of America (MPCA),11061,9536.0
1,3 Arts Entertainment,36390,9536.0
1,Weasel Productions,38003,9536.0
1,New Line Cinema,12,11525.0
1,Miramax Films,14,40628.0
1,New Line Cinema,12,10634.0
1,A Band Apart,59,755.0
1,Dimension Films,7405,755.0
1,Los Hooligans Productions,11705,755.0
1,Miramax,53009,755.0
1,Silver Pictures,1885,11859.0
1,Warner Bros.,6194,11859.0
1,Castleberg Productions,5841,28387.0
1,Sandollar Productions,5842,28387.0
1,New Line Cinema,12,20927.0
1,Juno Pix,4286,20927.0
1,Warner Bros.,6194,36929.0
1,Morgan Creek Productions,10210,36929.0
1,The Movie Network (TMN),3388,9102.0
1,Allegro Films,4899,9102.0
1,Fuji Eight Company Ltd.,7958,9102.0
1,Fries Film Group,23096,9102.0
1,Super Ecran,23097,9102.0
1,Triumph Films,23098,9102.0
1,Zweites Deutsches Fernsehen (ZDF),4606,124626.0
1,Ciak Filmproduktion,83201,124626.0
1,Bluehorse Films,93174,124626.0
1,Miramax Films,14,27526.0
1,Columbia Pictures Corporation,441,9623.0
1,Miramax Films,14,400.0
1,BET Pictures,38196,146599.0
1,United Image Entertainme,38197,146599.0
1,Playhouse International Pictures,2492,8447.0
1,The Samuel Goldwyn Company,8888,8447.0
1,Hollywood Pictures,915,10534.0
1,Largo Entertainment,1644,10534.0
1,Scott Free Productions,1645,10534.0
1,Twentieth Century Fox Film Corporation,306,17414.0
1,Joe Wizan/Todd Black,3311,17414.0
1,Paramount Pictures,4,13997.0
1,Paramount Pictures,4,2086.0
1,Miramax Films,14,61548.0
1,Addis Wechsler Pictures,4665,61548.0
1,TriStar Pictures,559,9095.0
1,NFH Productions,18737,9095.0
1,Paramount Pictures,4,12158.0
1,Miramax Films,14,9283.0
1,Woods Entertainment,979,9283.0
1,Twentieth Century Fox Film Corporation,306,9208.0
1,WCG Entertainment Productions,456,9208.0
1,Mark Gordon Productions,11362,9208.0
1,Castle Rock Entertainment,97,40154.0
1,Midwinter Films,75942,40154.0
1,Channel Four Films,181,45549.0
1,British Broadcasting Corporation (BBC),3324,63076.0
1,Westdeutscher Rundfunk (WDR),7025,63076.0
1,Canadian Broadcasting Corporation (CBC),12113,63076.0
1,Cinemax Reel Life,12911,63076.0
1,InPictures,12912,63076.0
1,Lafayette Films,12913,63076.0
1,Columbia Pictures,5,11062.0
1,Castle Rock Entertainment,97,11062.0
1,Gracie Films,18,13685.0
1,Columbia Pictures Corporation,441,13685.0
1,Touchstone Pictures,9195,47475.0
1,Metro-Goldwyn-Mayer (MGM),8411,2045.0
1,Dino De Laurentiis Company,10308,2045.0
1,Spelling Films,10355,2045.0
1,Universal Pictures,33,9614.0
1,Brillstein-Grey Entertainment,1606,9614.0
1,Robert Simonds Productions,3929,9614.0
1,Amblin Entertainment,56,688.0
1,Malpaso Productions,171,688.0
1,Warner Bros.,6194,688.0
1,Walt Disney Pictures,2,10874.0
1,Jim Henson Productions,2504,10874.0
1,"Jim Henson Company, The",6254,10874.0
1,Icon Entertainment International,4564,197.0
1,The Ladd Company,7965,197.0
1,B.H. Finance C.V.,11353,197.0
1,Columbia Pictures Corporation,441,103.0
1,Italo/Judeo Productions,46059,103.0
1,Bill/Phillips,46060,103.0
1,Caravan Pictures,175,43566.0
1,Hollywood Pictures,915,43566.0
1,Téléfilm Canada,806,71754.0
1,Skyline Films,2055,71754.0
1,Malofilm,3498,71754.0
1,Société de Développement des Entreprises Culturelles (SODEC),9116,71754.0
1,British Screen Productions,12745,71754.0
1,National Film Board of Canada (NFB),17027,71754.0
1,imX Communications,22150,71754.0
1,Glace Bay Pictures,38673,71754.0
1,Ciné Télé Action,38674,71754.0
1,Nova Scotia Film Development Corporation,40534,71754.0
1,Ranfilm,85045,71754.0
1,France 2 Cinéma,83,43612.0
1,France 3 Cinéma,591,43612.0
1,StudioCanal,694,43612.0
1,Les Productions du Champ Poirier,883,43612.0
1,Téléma Productions,885,43612.0
1,Bavaria Film and Television Fund,3236,16934.0
1,TriStar Pictures,559,10324.0
1,Motion Picture Corporation of America (MPCA),11061,10324.0
1,Savoy Pictures,11308,78406.0
1,TriStar Pictures,559,55731.0
1,Paramount Pictures,4,11066.0
1,Miramax Films,14,2074.0
1,Studio Babelsberg,264,27793.0
1,Dieter Geissler Filmproduktion,1766,27793.0
1,Cinevox Filmproduktion GmbH,1979,27793.0
1,Warner Bros.,6194,27793.0
1,Miramax,53009,27793.0
1,Paramount Pictures,4,11863.0
1,Twentieth Century Fox Film Corporation,306,9101.0
1,Couch Potatoe Productions,68229,123360.0
1,Channel Four Films,181,39428.0
1,Academy,38778,39428.0
1,Mayfair Films,94477,39428.0
1,Iberoamerica Films,94478,39428.0
1,Cinergi Pictures Entertainment,1504,9302.0
1,Touchstone Pictures,9195,9302.0
1,United Artists,60,11000.0
1,Fox Searchlight Pictures,43,16388.0
1,Columbia Pictures,5,9737.0
1,Don Simpson/Jerry Bruckheimer Films,10288,9737.0
1,Warner Bros.,6194,30765.0
1,New Line Cinema,12,10474.0
1,Island Pictures,3492,10474.0
1,Fine Line Features,8,22279.0
1,BBC,5996,22279.0
1,British Screen Productions,12745,22279.0
1,Portman Productions,16027,22279.0
1,Channel Four Films,181,30157.0
1,Zenith Entertainment,3644,30157.0
1,American Playhouse,3906,30157.0
1,Union Générale Cinématographique (UGC),7248,30157.0
1,La Sept Cinéma,16366,30157.0
1,True Fiction Pictures,37909,30157.0
1,Imagine Entertainment,23,568.0
1,Universal Pictures,33,568.0
1,United Artists,60,11780.0
1,Talisman Productions,8989,11780.0
1,October Films,236,34996.0
1,Guild,1214,34996.0
1,Fastnet Films,5353,34996.0
1,Warner Bros.,6194,414.0
1,Polygram Filmed Entertainment,31080,414.0
1,Columbia Pictures,5,1873.0
1,Castle Rock Entertainment,97,1873.0
1,Miramax Films,14,5894.0
1,InterAL,30334,5894.0
1,PolyGram Filmed Entertainment,1382,1775.0
1,Universal Pictures,33,8839.0
1,Amblin Entertainment,56,8839.0
1,The Harvey Entertainment Company,11098,8839.0
1,Universal Pictures,33,20649.0
1,40 Acres & A Mule Filmworks,4319,20649.0
1,Paramount Pictures,4,10329.0
1,"Kennedy/Marshall Company, The",7383,10329.0
1,Hollywood Pictures,915,8963.0
1,Don Simpson/Jerry Bruckheimer Films,10288,8963.0
1,Superior Pictures,4532,26564.0
1,Columbia Pictures,5,8068.0
1,Los Hooligans Productions,11705,8068.0
1,TriStar Pictures,559,8512.0
1,Mundy Lane Entertainment,2510,8512.0
1,Twentieth Century Fox Film Corporation,306,1572.0
1,Cinergi Pictures Entertainment,1504,1572.0
1,Why Not Productions,729,13552.0
1,Desperate Pictures,1474,13552.0
1,Blurco,2765,13552.0
1,The Teen Angst Movie Company,18902,13552.0
1,Touchstone Pictures,9195,259209.0
1,Merchant Ivory Productions,20740,259209.0
1,Columbia Pictures Corporation,441,6520.0
1,First Knight Productions,10158,6520.0
1,Regency Enterprises,508,9073.0
1,Alcor Films,644,9073.0
1,Canal+,5358,9073.0
1,Donner/Shuler-Donner Productions,5739,9073.0
1,Warner Bros.,6194,9073.0
1,United Artists,60,10428.0
1,Suftley,87394,10428.0
1,The Booking Office,12909,17447.0
1,TriStar Pictures,559,9886.0
1,Alliance Communications Corporation,2480,9886.0
1,Hollywood Pictures,915,9482.0
1,Cinergi Pictures Entertainment,1504,9482.0
1,TriStar Pictures,559,19326.0
1,Miramax Films,14,9344.0
1,JDI productions,13187,9071.0
1,Lemon Sky Productions,13190,9071.0
1,United Artists,60,8973.0
1,Seraphim Films,3557,8973.0
1,The Ontario Film Development Corporation,1203,15730.0
1,First Choice Films,2267,15730.0
1,Atlantis Films,4350,15730.0
1,Telefilm Canada,7320,15730.0
1,Max Films Productions,7828,15730.0
1,Super Écran,11578,15730.0
1,Société Générale des Industries Culturelles du Québec (SOGIC),35859,15730.0
1,Touchstone Pictures,9195,47608.0
1,Universal Pictures,33,2293.0
1,Gramercy Pictures,37,2293.0
1,Alphaville Films,11462,2293.0
1,View Askew Productions,16934,2293.0
1,Twentieth Century Fox Film Corporation,306,9070.0
1,Saban Entertainment,2106,9070.0
1,Toei Company,9255,9070.0
1,PolyGram Filmed Entertainment,1382,68274.0
1,Working Title Films,10163,68274.0
1,Comet Film Produktion GmbH,16561,48787.0
1,Avrora Media,38959,48787.0
1,Cobblestone Pictures,38960,48787.0
1,Kino Link Company,37897,34574.0
1,Columbia Pictures,5,1642.0
1,Twentieth Century Fox Film Corporation,306,11472.0
1,1492 Pictures,436,11472.0
1,Party Productions,37890,36196.0
1,Dimension Films,7405,11980.0
1,Playhouse International Pictures,2492,58372.0
1,American Playhouse,3906,58372.0
1,"Samuel Goldwyn Company, The",28205,58372.0
1,Killer Films,1422,32646.0
1,American Playhouse,3906,32646.0
1,Kardana Films,38692,32646.0
1,Chemical Films,39861,32646.0
1,Hollywood Pictures,915,10533.0
1,Cinergi Pictures Entertainment,1504,10533.0
1,United Artists,60,10802.0
1,Le Studio Canal+,183,10802.0
1,Carolco Pictures,14723,10802.0
1,Miramax Films,14,10149.0
1,Spring Creek Productions,705,18402.0
1,Warner Bros.,6194,18402.0
1,Hawn / Sylbert Movie Company,16368,18402.0
1,Metro-Goldwyn-Mayer (MGM),8411,9348.0
1,Malpaso Productions,171,139408.0
1,Lightstorm Entertainment,574,281.0
1,Hollywood Pictures,915,79593.0
1,PolyGram Filmed Entertainment,1382,79593.0
1,Interscope Communications,10201,79593.0
1,Savoy Pictures,11308,47939.0
1,Société Française de Production (SFP),6849,36834.0
1,FIT Productions,16026,36834.0
1,Portman Productions,16027,36834.0
1,Universal Pictures,33,9090.0
1,Amblin Entertainment,56,9090.0
1,Regency Enterprises,508,3512.0
1,Warner Bros.,6194,3512.0
1,Seagal/Nasso Productions,17825,3512.0
1,Victor Company of Japan (JVC),21480,3512.0
1,Cutting Edge Films,63906,3512.0
1,Hollywood Pictures,915,52856.0
1,Twentieth Century Fox Film Corporation,306,9560.0
1,Zucker Brothers Productions,2851,9560.0
1,Universal Pictures,33,9804.0
1,Gordon Company,1073,9804.0
1,Davis Entertainment,1302,9804.0
1,Licht/Mueller Film Corporation,6092,9804.0
1,HBO,6068,31611.0
1,A BandApart,6911,31611.0
1,Rysher Entertainment,11661,31611.0
1,United Artists,60,65796.0
1,Paramount Pictures,4,49805.0
1,Twentieth Century Fox Film Corporation,306,26258.0
1,PolyGram Audiovisuel,6367,19155.0
1,British Screen Productions,12745,19155.0
1,Detour Film Production,98,76.0
1,Warner Bros.,6194,76.0
1,Jack Giarraputo Productions,6365,11017.0
1,Spelling Films International,18189,37141.0
1,Regency Enterprises,508,9382.0
1,Alcor Films,644,9382.0
