,iso_3166_1,name,movieId
1,US,United States of America,862.0
1,US,United States of America,8844.0
1,US,United States of America,15602.0
1,US,United States of America,31357.0
1,US,United States of America,11862.0
1,US,United States of America,949.0
1,DE,Germany,11860.0
1,US,United States of America,45325.0
1,US,United States of America,9091.0
1,GB,United Kingdom,710.0
1,US,United States of America,9087.0
1,FR,France,12110.0
1,US,United States of America,21032.0
1,US,United States of America,10858.0
1,FR,France,1408.0
1,FR,France,524.0
1,GB,United Kingdom,4584.0
1,US,United States of America,5.0
1,US,United States of America,9273.0
1,US,United States of America,11517.0
1,US,United States of America,8012.0
1,US,United States of America,1710.0
1,FR,France,9691.0
1,US,United States of America,12665.0
1,US,United States of America,451.0
1,IT,Italy,16420.0
1,US,United States of America,9263.0
1,GB,United Kingdom,17015.0
1,US,United States of America,9909.0
1,US,United States of America,63.0
1,AU,Australia,9598.0
1,FR,France,47018.0
1,US,United States of America,687.0
1,US,United States of America,139405.0
1,US,United States of America,33689.0
1,US,United States of America,9603.0
1,ZA,South Africa,34615.0
1,GB,United Kingdom,31174.0
1,US,United States of America,11443.0
1,US,United States of America,35196.0
1,US,United States of America,9312.0
1,US,United States of America,577.0
1,US,United States of America,11861.0
1,US,United States of America,807.0
1,US,United States of America,10530.0
1,CA,Canada,8391.0
1,US,United States of America,629.0
1,US,United States of America,11448.0
1,US,United States of America,26441.0
1,FR,France,97406.0
1,US,United States of America,9089.0
1,US,United States of America,11359.0
1,US,United States of America,17182.0
1,US,United States of America,2054.0
1,US,United States of America,10607.0
1,US,United States of America,19760.0
1,US,United States of America,9536.0
1,US,United States of America,11525.0
1,US,United States of America,40628.0
1,US,United States of America,10634.0
1,US,United States of America,755.0
1,US,United States of America,11859.0
1,US,United States of America,28387.0
1,US,United States of America,20927.0
1,US,United States of America,36929.0
1,CA,Canada,9102.0
1,DE,Germany,124626.0
1,US,United States of America,27526.0
1,US,United States of America,9623.0
1,US,United States of America,400.0
1,US,United States of America,146599.0
1,GB,United Kingdom,8447.0
1,US,United States of America,10534.0
1,US,United States of America,17414.0
1,US,United States of America,13997.0
1,US,United States of America,2086.0
1,US,United States of America,61548.0
1,US,United States of America,9095.0
1,US,United States of America,12158.0
1,US,United States of America,9283.0
1,US,United States of America,9208.0
1,GB,United Kingdom,40154.0
1,GB,United Kingdom,45549.0
1,GB,United Kingdom,63076.0
1,US,United States of America,11062.0
1,US,United States of America,13685.0
1,US,United States of America,47475.0
1,US,United States of America,2045.0
1,US,United States of America,9614.0
1,US,United States of America,688.0
1,US,United States of America,10874.0
1,US,United States of America,197.0
1,US,United States of America,103.0
1,US,United States of America,43566.0
1,CA,Canada,71754.0
1,FR,France,43612.0
1,GB,United Kingdom,51352.0
1,DE,Germany,16934.0
1,US,United States of America,10324.0
1,US,United States of America,78406.0
1,US,United States of America,55731.0
1,CA,Canada,32119.0
1,US,United States of America,11066.0
1,US,United States of America,2074.0
1,DE,Germany,27793.0
1,US,United States of America,32622.0
1,US,United States of America,11863.0
1,US,United States of America,124636.0
1,US,United States of America,9101.0
1,US,United States of America,123360.0
1,US,United States of America,5757.0
1,GB,United Kingdom,39428.0
1,US,United States of America,9302.0
1,US,United States of America,11000.0
1,HR,Croatia,249882.0
1,US,United States of America,16388.0
1,US,United States of America,9737.0
1,US,United States of America,30765.0
1,US,United States of America,10474.0
1,GB,United Kingdom,22279.0
1,FR,France,30157.0
1,US,United States of America,568.0
1,GB,United Kingdom,11780.0
1,US,United States of America,34996.0
