,peopleCd,peopleNm,movieCd,movieNm,cast
136,20339145,윤승훈,20209343,한산: 용의 출현,기타단역
177,20132899,김현태,20209343,한산: 용의 출현,의병1
336,20383978,김동훈,20209343,한산: 용의 출현,세작5
546,10057492,이준혁,20209343,한산: 용의 출현,황박
676,20385164,민주호,20209343,한산: 용의 출현,왜군 세키부네 부장3
811,20385189,손수호,20209343,한산: 용의 출현,왜군 세키부네 부장1
947,20385163,엄기영,20209343,한산: 용의 출현,정운 부장2
1083,20385188,채강,20209343,한산: 용의 출현,이억기 부장2
1216,20385162,한동국,20209343,한산: 용의 출현,어영담 부장2
1352,20385161,김무섭,20209343,한산: 용의 출현,원균 부장4
1487,20385160,손대민,20209343,한산: 용의 출현,원균 부장2
1622,20385187,백태민,20209343,한산: 용의 출현,경상우수영 장수2
1756,20385186,장한솔,20209343,한산: 용의 출현,전라좌수영 초병
1890,20385159,윤상영,20209343,한산: 용의 출현,이순신 기라졸1
2020,20385185,최돈학,20209343,한산: 용의 출현,준사 왜군포로2
2154,20385184,유건기,20209343,한산: 용의 출현,가토 부장6
2290,20385158,이동빈,20209343,한산: 용의 출현,가토 부장5
2426,20385183,김건보,20209343,한산: 용의 출현,가토 부장4
2561,20385182,김이담,20209343,한산: 용의 출현,가토 부장2
2684,20385157,강리안,20209343,한산: 용의 출현,기생5
2819,20385181,박재이,20209343,한산: 용의 출현,기생3
2953,20385180,양동혁,20209343,한산: 용의 출현,이순신격군장
3081,20385179,남현우,20209343,한산: 용의 출현,김완부장
3216,20385178,이진민,20209343,한산: 용의 출현,사헤에첩보대5
3349,20385177,박선교,20209343,한산: 용의 출현,세작4
3485,20385176,홍윤,20209343,한산: 용의 출현,세작3
3609,20385175,김영찬,20209343,한산: 용의 출현,노 공연자
3733,20385174,김공,20209343,한산: 용의 출현,어영담부장
3869,20385173,김영탁,20209343,한산: 용의 출현,여진족장
4000,20385156,김대명,20209343,한산: 용의 출현,이영남
4117,10006228,김향기,20209343,한산: 용의 출현,보름
