,movieCd,auditNo,watchGradeNm,watchCd
0,20209343,2022-MF01508,12세이상관람가,12
1,20190323,2020-MF02827,12세이상관람가,12
2,20182490,2019-MF01231,전체관람가,all
3,20150976,2017-MF02022,12세이상관람가,12
4,20162181,2017-MF00384,청소년관람불가,19
5,20152371,2016-MF01801,12세이상관람가,12
6,20178401,2020-MF01178 ,15세이상관람가,15
7,20191121,2020-MF01862,12세이상관람가,12
8,20183085,2018-MF02072,15세이상관람가,15
9,20191845,2019-MF01286,청소년관람불가,19
10,20100296,2010-F215,12세이상관람가,12
11,20196701,2020-MF01327 ,15세이상관람가,15
12,20191221,2019-MF00815 ,15세이상관람가,15
13,20060005,2006-F114 ,전체관람가,all
14,20050064,2005-F129,12세관람가,12
15,20020164,2002-F148,15세관람가,15
16,20198461,2022-MF02027,15세이상관람가,15
17,19790068,,국민학생관람불가,12
18,20139164,2014-MF00392 ,15세이상관람가,15
19,19770048,,12세이상관람가,12
20,19760030,,12세이상관람가,12
21,19740136,,12세이상관람가,12
22,19740137,,12세이상관람가,12
23,20080895,,12세이상관람가,12
24,20208721,2022-MF01738,15세이상관람가,15
25,20196672,2020-MF02594 ,청소년관람불가,19
26,20211472,2022-MF02129,청소년관람불가,19
27,20194461,2021-MF01245,15세이상관람가,15
28,20187981,2019-MF00546,12세이상관람가,12
29,20179006,2018-MF01703,15세이상관람가,15
30,19860053,86-133,국민학생관람불가,12
31,20211382,2022-MF00853 ,12세이상관람가,12
32,20196675,2020-MF02392,15세이상관람가,15
33,19518016,,15세이상관람가,15
34,20215108,2021-MF00149,15세이상관람가,15
35,20110131,2011-F397,청소년관람불가,19
36,20208101,2022-MF02362 ,15세이상관람가,15
37,20060066,2006-F072,전체관람가,all
38,20211546,2022-MF02589 ,15세이상관람가,15
39,20150966,2016-MF01616,12세이상관람가,12
40,20145506,2016-MF00304 ,15세이상관람가,15
41,20147176,2014-MF01304 ,15세이상관람가,15
42,20224717,2022-MF01608 ,15세이상관람가,15
43,20197853,2020-MF02092 ,12세이상관람가,12
44,20070010,2007-F051,15세이상관람가,15
45,20040554,2004-F230,15세관람가,15
46,20040613,2004-F224,15세관람가,15
47,20040514,2004-F092,15세관람가,15
48,20175547,2018-MF02244,12세이상관람가,12
49,20170942,2018-MF01303,15세이상관람가,15
50,20177005,2018-MF00619,15세이상관람가,15
51,20160483,2017-MF00624,청소년관람불가,19
