,movieCd,movieNm,movieNmEn,openDt,repNationNm,genreCd,companys
0,20209343,한산: 용의 출현,Hansan: Rising Dragon,20220727,한국,0,(주)빅스톤픽쳐스
1,20190323,새해전야,NEW YEAR BLUES,20210210,한국,1,(주)수필름
2,20182490,나랏말싸미,The King's Letters,20190724,한국,2,(주)영화사두둥
3,20150976,신과함께-죄와 벌,Along with the Gods: The Two Worlds,20171220,한국,3,리얼라이즈픽쳐스(주)
4,20162181,프리즌,The Prison,20170323,한국,4,(주)큐로홀딩스
5,20152371,"당신, 거기 있어줄래요",Will You Be There?,20161214,한국,3,(주)수필름
6,20178401,검객,The Swordsman,20200923,한국,0,오퍼스픽쳐스(유)
7,20191121,7월7일,On July 7,20200902,한국,5,필름소년
8,20183085,질투의 역사,A History of Jealousy,20190314,한국,1,(주)유앤정필름 
9,20191845,난폭한 기록,Fist & Furious,20190711,한국,4,유한회사 영화사 반딧불
10,20100296,포화속으로,71-Into The Fire,20100616,한국,5,(주)태원엔터테인먼트
11,20196701,69세,An Old Lady,20200820,한국,5,(주)기린제작사
12,20191221,법피아,Mafia of the Law,20190502,한국,6,월드 영화사
13,20060005,맨발의 기봉이,Barefoot Ki-Bong,20060426,한국,5,(주)태원엔터테인먼트
14,20050064,간 큰 가족,A Bold Family,20050609,한국,7,(주)두사부필름
15,20020164,해적 디스코왕 되다,Bet On My Disco,20020605,한국,5,기획시대(주)
16,20198461,리멤버,REMEMBER,20221026,한국,5,(주)영화사 월광
17,19790068,죽음보다 깊은 잠,The Sleep Deeper Than Death,19791207,한국,5,(주)동아수출공사
18,20139164,표적,The Target,20140430,한국,0,(주)바른손이앤에이
19,19770048,표적,Target,19770908,한국,5,한진흥업주식회사
20,19760030,젊은 도시,Young City,19760827,한국,5,한진흥업주식회사
21,19740136,연화,Yeonhwa,19750308,한국,2,(주)우진필림
22,19740137,속 연화,Yeonhwa 2,19750308,한국,2,(주)우진필림
23,20080895,파계,Transgression,19741109,한국,5,(주)동아수출공사
24,20208721,리미트,Limit,20220831,한국,4,(주)베러투모로우
25,20196672,럭키 몬스터,Lucky Monster,20201203,한국,5,한국영화아카데미
26,20211472,늑대사냥,Project Wolf Hunting,20220921,한국,0,(주)콘텐츠지
27,20194461,파이프라인,Pipeline,20210526,한국,4,(주)빅오션이엔엠
28,20187981,배심원들,Juror 8,20190515,한국,5,반짝반짝영화사(주)
29,20179006,여곡성,The Wrath,20181108,한국,8,(주)발자국 공장
30,19860053,여곡성,Woman'S Wail,19860823,한국,8,국제
31,20211382,오마주,Hommage,20220526,한국,5,(주)준필름
32,20196675,젊은이의 양지,Light for the Youth,20201028,한국,5,(주)준필름
33,19518016,젊은이의 양지,A Place in the Sun,19721028,미국,5,파라마운트 픽쳐스
34,20215108,용루각2: 신들의 밤,Dragon Inn Part 2: The Night of Gods,20210210,한국,0,(주)그노스
35,20110131,에일리언 비키니,Invasion of Alien Bikini,20110825,한국,9,키노망고스틴
36,20208101,대무가,DAEMUGA,20221012,한국,5,(주)쿠키픽쳐스
37,20060066,리바운드,Rebound,20060331,미국,7,로버트 시몬즈 프로덕션
38,20211546,같은 속옷을 입는 두 여자,The Apartment with Two Women,20221110,한국,5,한국영화아카데미
39,20150966,사랑하기 때문에,BECAUSE I LOVE YOU,20170104,한국,7,(주)에이디사공육
40,20145506,해어화,"LOVE, LIES",20160413,한국,2,더램프(주)
41,20147176,상의원,The Royal Tailor,20141224,한국,2,(주)영화사비단길
42,20224717,썬더버드,THUNDERBIRD,20220921,한국,5,한국영화아카데미
43,20197853,잔칫날,Festival,20201202,한국,5,스토리텔러 픽처스
44,20070010,마강호텔,Hotel M : Gangster’s Last Draw,20070222,한국,7,(주)마인엔터테인먼트 
45,20040554,가족,A Family,20040903,한국,5,튜브픽쳐스(주)
46,20040613,알포인트,R - Point,20040820,한국,11,씨앤필름(주)
47,20040514,바람의 전설,Dance With The Wind,20040409,한국,5,필름매니아(주)
48,20175547,스윙키즈,Swing Kids,20181219,한국,5,(주)안나푸르나필름
49,20170942,인랑,ILLANG : THE WOLF BRIGADE,20180725,한국,9,(주)루이스 픽쳐스
50,20177005,레슬러,LOVE+SLING,20180509,한국,5,(주)안나푸르나필름
51,20160483,꿈의 제인,Jane,20170531,한국,5,영화사 서울집
52,20157064,커튼콜,Curtain Call,20161208,한국,7,(주)모멘텀엔터테인먼트
53,20156564,부산행,TRAIN TO BUSAN,20160720,한국,0,(주)영화사레드피터
54,20090023,작전,The Scam,20090212,한국,4,(주)영화사비단길
55,20168247,종로3가역2번출구,Jongno 3rd street station exit number 2,20171207,한국,5,주식회사 씨엠닉스
56,20173612,메소드,Method,20171102,한국,5,모베터필름 주식회사
57,20159648,"고산자, 대동여지도",The Map Against the World,20160907,한국,2,(주)시네마서비스
58,20158705,서울야행,Midnight in seoul,20160505,한국,7,주식회사 씨엠닉스
59,20081648,장례식의 멤버,Members of the Funeral,20090312,한국,5,한국영화아카데미
60,20218527,이공삼칠,On My Way Home,20220608,한국,12,모티브픽쳐스(주)
61,20191422,공수도,Justice High,20200409,한국,0,(주)그노스
62,20185341,마녀,The Witch : Part 1. The Subversion,20180627,한국,13,(주)영화사 금월
63,20136864,마녀,The Wicked,20140911,한국,8,주식회사 흰수염고래영화사
64,20188441,킹메이커,Kingmaker,20220126,한국,5,(주)씨앗필름
65,20183782,기생충,PARASITE,20190530,한국,5,(주)바른손이앤에이
66,20188421,미스터 주: 사라진 VIP,MR. ZOO: THE MISSING VIP,20200122,한국,7,리양필름(주)
67,20197846,악질경찰,Jo Pil-ho: The Dawning Rage,20190320,한국,4,청년필름(주)
68,20170658,PMC: 더 벙커,Take Point,20181226,한국,0,(주)퍼펙트스톰필름
69,20161681,미옥,A Special Lady,20171109,한국,4,(주)영화사 소중한
70,20161726,임금님의 사건수첩,The King's Case Note,20170426,한국,7,(주)영화사람
71,20142855,성난 변호사,The Advocate : A Missing Body,20151008,한국,4,(주)씨제이이엔엠
72,20130442,끝까지 간다,A Hard Day,20140529,한국,0,(주)에이디사공육
73,20137041,우리 선희,Our Sunhi,20130912,한국,5,(주)영화제작전원사 
74,20121741,누구의 딸도 아닌 해원,Nobody’s Daughter Haewon,20130228,한국,5,(주)영화제작전원사 
75,20113554,내 아내의 모든 것,All About My Wife,20120517,한국,7,(주)수필름
76,20124050,화차,Helpless,20120308,한국,13,(주)영화제작소보임
77,20119619,체포왕,Officer of the Year,20110504,한국,7,(주)씨네이천
78,20101221,쩨쩨한 로맨스,Petty Romance,20101201,한국,7,(주)크리픽쳐스
79,20100787,옥희의 영화,Oki's Movie,20100916,한국,5,(주)영화제작전원사 
80,20090667,파주,Paju,20091028,한국,5,(주)티피에스컴퍼니
81,20081718,로맨틱 아일랜드,Romantic Island,20081224,한국,1,㈜스토리팩토리
82,20080052,밤과 낮,Night And Day,20080228,한국,5,(주)영화사봄
83,20072520,우리 동네,Our Town,20071129,한국,10,(주)오브젝트필름
84,20060280,잔혹한 출근,Educating Kidnappers,20061102,한국,7,㈜게이트픽쳐스
85,20060025,손님은 왕이다,The Customer Is Always Right,20060223,한국,5,조우필름(주)
86,20050086,사과,Sakwa,20081016,한국,5,영화사청어람(주)
87,20040515,인어 공주,"My Mother, The Mermaid",20040630,한국,5,나우필름(주)
88,20030015,쇼쇼쇼(Show Show Show),The Show,20030228,한국,1,도레미픽쳐스(주)
89,20030014,국화꽃 향기,Scent of Love,20030228,한국,5,(주)태원엔터테인먼트
90,20020242,보스 상륙 작전(Boss X File),Boss X File,20020906,한국,7,조이엔터테인먼트(주)
91,20020303,좋은사람있으면 소개시켜줘,A Perfect Match,20020808,한국,1,㈜영화세상
92,20020197,서프라이즈,Surprise Party,20020704,한국,1,(주)씨네이천
93,20020054,일단뛰어,Make It Big,20020509,한국,0,기획시대(주)
94,20090684,어떤 방문,Visitors,20091112,한국,5,(재)전주국제영화제조직위원회
95,20209654,헤어질 결심,Decision to Leave,20220629,한국,13,(주)모호필름
96,20211549,로그 인 벨지움,Log in Belgium,20211201,한국,6,태오닉 모 
97,20199816,담보,Pawn,20200929,한국,5,(주)제이케이필름
98,20195002,블랙머니,BLACK MONEY,20191113,한국,4,유한회사 질라라비
99,20183407,버티고,Vertigo,20191016,한국,5,영화사 도로시(주)
100,20090862,여배우들,The Actresses,20091210,한국,5,주식회사 뭉클픽쳐스
101,20219628,정직한 후보2,Honest Candidate 2,20220928,한국,7,(주)수필름
102,20208446,외계+인 1부,Alienoid,20220720,한국,0,(주)케이퍼필름
103,20178501,니 부모 얼굴이 보고 싶다,I want to know your parents ,20220427,한국,5,(주)더타워픽쳐스
