,movieCd,typeNm
0,20209343,장편
1,20190323,장편
2,20182490,장편
3,20150976,장편
4,20162181,장편
5,20152371,장편
6,20178401,장편
7,20191121,장편
8,20183085,장편
9,20191845,장편
10,20100296,장편
11,20196701,장편
12,20191221,장편
13,20060005,장편
14,20050064,장편
15,20020164,장편
16,20198461,장편
17,19790068,장편
18,20139164,장편
19,19770048,장편
20,19760030,장편
21,19740136,장편
22,19740137,장편
23,20080895,장편
24,20208721,장편
25,20196672,장편
26,20211472,장편
27,20194461,장편
28,20187981,장편
29,20179006,장편
30,19860053,장편
31,20211382,장편
32,20196675,장편
33,19518016,장편
34,20215108,장편
35,20110131,장편
36,20208101,장편
37,20060066,장편
38,20211546,장편
39,20150966,장편
40,20145506,장편
41,20147176,장편
42,20224717,장편
43,20197853,장편
44,20070010,장편
45,20040554,장편
46,20040613,장편
47,20040514,장편
48,20175547,장편
49,20170942,장편
50,20177005,장편
51,20160483,장편
52,20157064,장편
53,20156564,장편
54,20090023,장편
55,20168247,장편
56,20173612,장편
57,20159648,장편
58,20158705,장편
59,20081648,장편
60,20218527,장편
61,20191422,장편
62,20185341,장편
63,20136864,장편
64,20188441,장편
65,20183782,장편
66,20188421,장편
67,20197846,장편
68,20170658,장편
69,20161681,장편
70,20161726,장편
71,20142855,장편
72,20130442,장편
73,20137041,장편
74,20121741,장편
75,20113554,장편
76,20124050,장편
77,20119619,장편
78,20101221,장편
79,20100787,장편
80,20090667,장편
81,20081718,장편
82,20080052,장편
83,20072520,장편
84,20060280,장편
85,20060025,장편
86,20050086,장편
87,20040515,장편
88,20030015,장편
89,20030014,장편
90,20020242,장편
91,20020303,장편
92,20020197,장편
93,20020054,장편
94,20090684,옴니버스
95,20209654,장편
96,20211549,장편
97,20199816,장편
98,20195002,장편
99,20183407,장편
100,20090862,장편
101,20219628,장편
102,20208446,장편
103,20178501,장편
104,20204845,장편
105,20204117,장편
106,20201815,장편
107,20217218,장편
108,20197434,장편
109,20193321,장편
110,20198414,장편
111,20195920,장편
112,20177539,장편
113,20176251,장편
114,20177538,장편
115,20153446,장편
116,20161481,장편
117,20158485,장편
118,20159647,장편
119,20167829,장편
120,20161366,장편
121,20150968,장편
122,20145507,장편
123,20156557,장편
124,20140703,장편
125,20134804,장편
126,20123501,장편
127,20138224,장편
128,20126091,장편
129,20124080,장편
130,20119627,장편
131,20090892,장편
132,20081209,장편
133,20070504,장편
134,20200295,장편
135,19990069,장편
136,20196264,장편
137,20186649,장편
138,20182590,장편
139,20209802,장편
140,20200304,장편
141,20197863,장편
142,20177784,장편
143,20180939,장편
144,20183002,장편
145,20192206,장편
146,20191106,장편
147,20185161,장편
148,20181198,장편
149,20174442,장편
150,20154908,장편
151,20173734,장편
152,20179383,장편
153,20174010,장편
154,20178781,장편
155,20170590,장편
156,20169643,장편
157,20162869,장편
158,20168161,장편
159,20161589,장편
160,20154910,장편
161,20161722,장편
162,20152541,장편
163,20157465,장편
164,20148048,장편
165,20148927,장편
166,20132482,장편
167,20124938,장편
168,20134413,장편
169,20050170,장편
170,20134582,장편
171,20124086,장편
172,20124400,장편
173,20113916,장편
174,20119515,장편
175,20110233,장편
176,20175865,옴니버스
177,20212392,장편
178,20210168,장편
179,20190582,장편
180,20193666,장편
181,20191029,장편
182,20174681,장편
183,20180902,장편
184,20183423,장편
185,20160465,장편
186,20154909,장편
187,20154905,장편
188,20151022,장편
189,20148844,장편
190,20148841,장편
191,20138226,장편
192,20119628,장편
193,20119659,장편
194,20061214,장편
195,20050239,장편
196,19800019,장편
197,20050142,장편
198,20040778,장편
199,20040657,장편
200,20030125,장편
201,20020006,장편
202,20010005,장편
203,20010037,장편
204,20010047,장편
205,20000012,장편
206,20205986,장편
207,20173202,장편
208,20206257,장편
209,20224882,장편
210,20191243,장편
211,20196284,장편
212,20184462,장편
213,20183096,장편
214,20173732,장편
215,20174142,장편
216,20145171,장편
217,20130021,장편
218,20136063,장편
219,20148626,장편
220,20139183,장편
221,20136049,장편
