,movie,sentence,score,movieCd,movieNm
1,리멤버,"친일청산과 역사바로세우기..지치지말고 끝까지해야합니다..친일하면 3대가호강하고 독립운동하면 멸문지화를 당했던 우리의아픈역사바로세우기 잊지말고, 지치지말고, 멈추지마말고해야겠습니다.",8,20198461,리멤버
2,자백,소재는 다르지만 이런 방식의 다양한 결말 전개방식을 보여준 영화가 몇 몇 있었는데 개인적으로 선호하지는 않습니다.,7,20198429,자백
3,자백,소재는 다르지만 이런 방식의 다양한 결말 전개방식을 보여준 영화가 몇 몇 있었는데 개인적으로 선호하지는 않습니다.,7,20163041,자백
7,도리화가,훌륭한 배우들을 썩힌 영화. 마이너스 별점을 주고싶은 영화. 여주인공 소리연기 발성이 염려되어서인지 클라이막스 소리연기할 때마다 맞지도 않는 배경음악 깔고.... 도대체 ... 관람객들 다 아는데 눈속임하는 감독의 노력이 돋보이는 영화,1,20140144,도리화가
8,리멤버,이야기도 재미있고 액션 연출도 좋고 배우들 연기도 좋은데 복수의 이유를 좀 더 관객이 울컥-공감 하도록 깊게 전달햇으면..,8,20198461,리멤버
9,정직한 후보2,윤두준 캐스팅은 개오바아니냐 ㅋ이게 흥행 할줄 알고 만든거냐 ㅋ1편에서 끝내지...보는 내내 오그라드는줄 알앗다 윤두준땜에 ㅋ,1,20219628,정직한 후보2
10,공조2: 인터내셔날,생각했던거보다 별로네,3,20215601,공조2: 인터내셔날
12,리멤버,22년이 저물어가면서 한국영화는 모조리 다 봤지만 리멤버가 최곱니다. 쓸떼없이 짜지않고 억지국뽕없고 한 노인의 처절한 싸움에 심금이 울립니다..이성민배우님 최고세요!,10,20198461,리멤버
13,자백,진짜 재미없네요 다시는 보고싶지 않습니다 이거 보면 후회 합니다 팝콘 먹는거에 집중했습니다 이글을 보신다면 보지말아주세요,1,20198429,자백
14,자백,진짜 재미없네요 다시는 보고싶지 않습니다 이거 보면 후회 합니다 팝콘 먹는거에 집중했습니다 이글을 보신다면 보지말아주세요,1,20163041,자백
16,공조2: 인터내셔날,1편 감독이 만들지.... 1편 못따라가네..,2,20215601,공조2: 인터내셔날
18,늑대사냥,여긴 아직도 조선시대?이제 좀 제대로 잔인한 영화가 나와서 오직 그것만 볼만했네..ㅋㅋ,10,20211472,늑대사냥
19,외계+인 1부,상상력 돋는 연출과 액션연기 너무 좋아요. 두번 세번 봐도 재미있어요,10,20208446,외계+인 1부
20,늑대사냥,이런영화 만들 돈으로 기부를 하시지..별 반개도 아까움 그냥 평 달기위한 수단일뿐 점수는 0점,1,20211472,늑대사냥
21,비상선언,감독이 우리나라 국민들 알기를 개같이 아네 실제로 이런일이 일어난다면 우리나라 사람들이 착륙을 반대하겠냐?,2,20196410,비상선언
23,리멤버,뻔한 스토리의 감성팔이 영화. 치매 노인 설정은 왜 한건지,1,20198461,리멤버
24,인질,그냥 황정민나오니까 보는거지클리셰도 넘 많고 넘 답답하고…도대체 경찰은 왜 총을 안쏘는거야  킬링타임용으로 보기에도 너무 답답함,6,20192194,인질
25,리멤버,와 이거 걍 개띵작이에요.. 꼭보세요 진짜 ..이성민님 너무 너무 연기 잘하시고 팬인데 더 팬됬어요 ㅠㅠ 남주혁님도 넘 잘생기고 연기 굿굿,10,20198461,리멤버
28,애프터 미투,감독마다 색깔이 달라 다양한 구성으로 재밌게 봤어요. 생각할 부분도 메세지도 좋네요. ,10,20212442,애프터 미투
31,낮과 달,"필사의 팔씨름이 여성 연대의 촉매가 되는 순간, 감동을 느꼈다. 이 지점에 도달하려면 생명을 톱날로 분쇄하는, 도넘은 징징거림을 견뎌야 한다는 것이 함정.",7,20211566,낮과 달
32,자백,부모님 감정이 느껴져서 좀 슬펐어요ㅠㅠ,10,20198429,자백
33,자백,부모님 감정이 느껴져서 좀 슬펐어요ㅠㅠ,10,20163041,자백
34,고양이들의 아파트,"털레반 미화 영화, 그렇게 불쌍하면 집에 데려와서 키워",1,20207566,고양이들의 아파트
37,리멤버,"아직 끝나지 않은, 친일파 척결이라는 시대적 의무. 친일파 척결로서 종결되어야 할 일제 잔재 청산. 일제에 대한 정당한 복수가 주는 카타르시스. 그 카타르시스가 주는 짜릿함을 느끼며 엔딩 크레딧을 마주한다.꼴같지 않은 미사여구 써대며 영화에 대해 아는척 하는 영화 칼럼리스트들의 눈에는 한낱 또하나의 비평거리에 불과하겠지만. 제발 감성을 열고 시대적 의무를 지고 좀 보자.진보도 보수도 다 떠나, 일제의 만행을 기억하고 느끼고 잊지 말자. 절대로.나는 대한민국의 국민이니까.",10,20198461,리멤버
42,정직한 후보2,흥행이 목적이 아닌 총선때 2번 찍으라는 의미 전달을 위한 쓰레기 영화,1,20219628,정직한 후보2
43,거래완료,서로 다르지만 작은 연결고리를 가진 4개의 서로 다른 이야기. 옴니버스의 느낌이 매력적이다. 짜임새가 아쉬운 부분도 있지만 따듯한 당근마켓영화. 크리스마스 때 나오면 더 좋았을듯.,7,20200566,거래완료
45,늑대사냥,"아니 왜 다 죽임?뜬금없이 다 죽이네.그럼 네임벨류 연예인을 1 ~ 2명, 보조 네임벨류 연예인을 나머지로 채우던가.",1,20211472,늑대사냥
46,게이트,스토리작가의 역량이 한없이 의심스러워지는 영화. ,1,20189663,게이트
47,낮과 달,"철든 어른과 철들지 않은 어른의 만남, 대화, 행위들. 철든 어른의 철들지 않은 면과 철들지 않은 어른의 철든 면의 맞닿음. 그 매개가 되는 하나의 노래. 현재의 인물과 과거의 인물이 함께 만들어낸.",8,20211566,낮과 달
48,리멤버,"믿고 보는 이성민, 카타르시스 결말",8,20198461,리멤버
49,자백,몰입감 최고 대박! 꼭 봐야 되,10,20198429,자백
50,자백,몰입감 최고 대박! 꼭 봐야 되,10,20163041,자백
51,자백,"탄탄한 시나리오, 나나의 재발견",9,20198429,자백
52,자백,"탄탄한 시나리오, 나나의 재발견",9,20163041,자백
53,리멤버,울컥울컥하면서 보다가 마지막쯤에 짜치는 대사가있어서 확 식네요. 감독이 페미인가 검색해봄,6,20198461,리멤버
54,자백,기대가 조금 컸던 거 같기도,7,20198429,자백
55,자백,기대가 조금 컸던 거 같기도,7,20163041,자백
56,리멤버,이런영화를 좀 추천해라,10,20198461,리멤버
58,특송,넘나 잼나게 봣어요  또봐도 잼나네요흥행이 왜 안된간지 의문임,10,20192354,특송
59,고양이들의 아파트,과연보호받아야할 종인가? 고양이에게 재미로 희생되는 불쌍한 조류 설치류들은 안 불쌍하나?,1,20207566,고양이들의 아파트
60,공조2: 인터내셔날,현빈 1과 다르게 2에서 롤을 바꾸니까 굉장히 괜찮음. 림철령 폭스 다 됨 ㅋㅋ 다니엘헤니는 특출 정도로만 했어도 충분했을..ㅎ 피지컬이 좋아서 액션은 말해뭐해 그냥 현빈 활용을 너무 잘 하는 영화. 공조3 기대,8,20215601,공조2: 인터내셔날
61,수상한 그녀,예상된 웃음 예상된 결말 예상된 눈물,5,20131102,수상한 그녀
62,늑대사냥,잔인한 것도 적당히...,6,20211472,늑대사냥
63,리멤버,재미없다는 사람은 아마도 한국인이 아닐겁니다,10,20198461,리멤버
64,늑대사냥,"역대급 쓰레기 스토리, 액션 전부 엉망진창.. 2022년에 나온 영화가 맞나?",1,20211472,늑대사냥
67,자백,두시간의 긴 러닝타임이 이렇다할 액션 없이도 지루하지 않은건 소지섭 김윤진 두 배우의 연기력이 아닐까 싶다.두 배우의 눈빛이 미쳤음.몰입도 좋고 결말도 좋다.전혀 예상 하지 못한 반전이 있음.영화 추천합니다. ,10,20198429,자백
68,자백,두시간의 긴 러닝타임이 이렇다할 액션 없이도 지루하지 않은건 소지섭 김윤진 두 배우의 연기력이 아닐까 싶다.두 배우의 눈빛이 미쳤음.몰입도 좋고 결말도 좋다.전혀 예상 하지 못한 반전이 있음.영화 추천합니다. ,10,20163041,자백
70,싱글라이더,내인생 최고의 영화 !!!삶의 무게가 고스란히 느껴진다. 너무나 먹먹하고 애잔한 영화 ..,10,20161723,싱글라이더
71,거래완료,깔끔한 연출! 기대없이 보았는데 만족,8,20200566,거래완료
72,자백,오랜만에 잼있게 봤어요 ,10,20198429,자백
73,자백,오랜만에 잼있게 봤어요 ,10,20163041,자백
74,리멤버,친일파 청산 대리만족. ,8,20198461,리멤버
76,자백,잼있습니다 볼만합니다,10,20198429,자백
77,자백,잼있습니다 볼만합니다,10,20163041,자백
