num,movie,sentence,score
1,20세기 소녀,이범수 너무 웃겨 ㅜㅜ 풋풋해서 넘 조았음,10
2,리멤버,영화 몰입도 높게 잘 봤습니다.,7
3,에브리씽 에브리웨어 올 앳 원스,계속 울었다 웃었다 너무 재밌어요 두번 세 번 보세요,10
4,아가씨 참으세요,재미있었네요..정윤희씨 정말이쁘네요..,10
5,리멤버,"배우들의 연기가 뛰어나서 자칫 붕 뜰 수 있는 소재가 제 자리를 잡았다. 현대 시점에서 친일파에게 복수하는 영화는 잘 못 본 거 같은데, 시원한 맛이 있다. 학계, 군, 대기업 등에 포진한 친일파의 면모를 쭉 소개해주기도 한다. 주인공의 고뇌로 이어지는 부분에서 이 영화가 나름대로 균형을 모색한다는 것을 느낄 수 있다.",8
6,죽지않는 인간들의 밤,페미련들이 또 평점 10점주고갔네 ㅎㅎ,1
7,리멤버,"오랜만에 푹빠져 감상한 영화다. 재미와 연기, 내용까지 훌륭하다",10
8,20세기 소녀,중년여성이 보아도..감성뿜뿜..잘 만들었고..배우들도..신선함..남성배우들..캐스팅..신선하다..잼나다...지루한 요소없이..너무나 잼나요...,10
9,죽어도 자이언츠,롯데팬들은 충분히 공감하고 볼만한 영화입니다,9
10,20세기 소녀,클래식 이후로 인생영화ㅠ 너무 슬퍼서 오열ㅠ ,10
11,20세기 소녀,너무너무 추천추천!!!!,10
12,20세기 소녀,인생에서 최고로 기억해서 두고두고 보고싶은  아련한 추억을  가슴저리게 본 영화입니다~아직도  너무  가슴이 몽글해집니다~몇번씩 다시보고 감정을 유지합니다~변우석 배우 넘 눈빛이 아련합니다~~,10
13,20세기 소녀,유치하지만 김유정이 예쁘다,4
14,선과 악의 학교,심파도 아니고 ~~~~  ㅜㅜ,1
15,가을 우체국,마이크 나와도 괜찮나.어의 상실,2
16,더 킹,한국영화 취향아니라 잘 안보는데 제일 잘 만듦,10
17,"색, 계",마지막 자막 크레딧 OST가 제일 좋았다,6
18,황해,"스토리는 복잡했지만 조선족 연기, 살벌함들을 잘 연기해내고 표현해 냈다..",6
19,늑대사냥,난개인적으로 내스타일ㅎㅎ 많이잔인해서좋앗당ㅋ,10
20,에브리씽 에브리웨어 올 앳 원스,내내 입 벌리고 봤다..,10
21,리멤버,내용은 생각했던 거 그대로고 연기는 역시 믿고 보는 배우님들답게 좋았습니다. 영화 보면서 지루하기도 했지만 재밌기도 했습니다. 기대했던 거보다는 정말 재밌다는 느낌은 없지만 나름 볼만 영화라고 생각합니다.,7
22,리멤버,재미없어요..,4
23,에브리씽 에브리웨어 올 앳 원스,"오글거리는건 둘째치고 개연성없는 병맛, 쓸데없이 더러운 장면.. 거창한 시작과 액션에서 갑분, 결국은 사랑이다로 문제해결이라니.. 이게 왜 재밌는거지;;; 배우들은 훌륭했습니다 ",2
24,나를 죽여줘,진짜 배우들 연기때문에 소름 여러번 돋았네요~ 광역시에 사는데도 상영관이 하나밖에 없어서 상영관 적은게 좀 아쉽네요이렇게 좋은 영화는 많이많이 봐야하는데,10
25,리멤버,부와 명예 그리고 사회적 지위를 누리고 사는 친일파를 영화에서라도 처단해주니 속이 후련하네요~ 통쾌하면서도 감동이 있는 영화 잘 봤습니다,9
26,늑대사냥,정말 이  영화가 흥행 할 거라고 생각하고 만든건아니겠지? 연출 연기 스토리 영상미 OST 중에서 몰 선택 할게 없네,1
27,자백,원작 영화를  봤다면 절대 비추 ㅠ  처음부터 몰입이  안 됨 ㅎㅎ,7
28,자백,원작 영화를  봤다면 절대 비추 ㅠ  처음부터 몰입이  안 됨 ㅎㅎ,7
29,죽어도 자이언츠,왜 아쉬움이 왜 없겠냐마는 가을야구 없는 롯팬에게 전하는 가을야구 선물이니까 ,10
30,인생은 아름다워,토욜 오전에 4시간 들여 차기름에 영화값 써가며 볼 바에는 그냥 잠이나 더 자는게 낫겠다 싶음,1
31,리멤버,연기 짱 잘함!! 꼭 봐야할 영화임!! ,10
32,리멤버,두 분 다 감정 전달을 너무 잘하시는 듯..,10
33,리멤버,다 알고있는 역사인데도 눈물이 왈칵 날 만큼 연기가 너무 좋았어요~,9
34,공조2: 인터내셔날,"멋잇고 잼잇다. 역시 현빈 짱,,,.",10
35,빛나는 순간,"배우 고두심은 어떠한 연기를 해도 관객들을 몰입시키지만, 두 주인공이 사랑에 빠지는 과정은 너무 뜬금없이 느껴져서 공감할 수 없다. 캐릭터들의 감정을 좀 더 세심하게 표현했어야 했다.",4
36,리멤버,소재나 주제는 좋은데 차라리 남주혁 부분을 빼는건 어땠을까 싶다,7
37,리멤버,소재나 주제는 좋은데 차라리 남주혁 부분을 빼는건 어땠을까 싶다,7
38,블랙잭,"80~90년대 할리우드에서 많이 만들어졌던 에로틱 스릴러를 따라하는데, 대부분 별다른 고민 없이 베낀 수준이라 얄팍해 보인다. 배우들의 그럭저럭 괜찮은데, 결말은 진짜 실망스럽다.",4
