,movieCd,showTime
0,20200566,119
1,20208101,107
2,19900046,88
3,19750143,80
4,20226585,97
5,20198429,105
6,20198461,128
7,20224598,114
8,20227665,119
9,20170841,103
10,20211546,139
11,20217126,93
12,20224717,96
13,20217624,119
14,20211566,111
15,20192206,128
16,20211242,128
17,20219310,109
18,20209297,86
19,20216056,104
20,20200523,79
21,20227855,84
22,20206257,129
23,20209654,138
24,20226739,73
25,20191162,97
26,20212391,156
27,20209349,119
28,20227225,110
29,20209343,129
30,20226679,64
31,20193450,115
32,20225843,115
33,20226444,76
34,20201875,83
35,20217124,96
36,19940005,113
37,20226220,101
38,20209132,69
39,20226670,79
40,20227352,89
41,20216224,97
42,20212442,85
43,20100076,128
44,20209515,86
45,20178941,109
46,20020248,115
47,20219628,106
48,20101028,108
49,19910073,120
50,20181198,99
51,20162361,101
52,20010047,101
53,19960024,92
54,20175830,114
55,20126668,89
56,19748209,90
57,19898434,99
58,19980133,102
59,20040690,128
60,20181105,79
61,20060125,97
62,19950024,99
63,20070435,114
64,20111774,115
65,20148846,125
66,20124079,131
67,20197434,126
68,20050333,119
69,20210029,74
70,20217826,113
71,20207566,88
72,20202254,90
73,20040745,115
74,20110279,93
75,20161589,110
76,20176104,120
77,20120426,112
78,20156559,116
79,20223985,96
80,20081395,119
81,20189067,97
82,20124054,124
83,20060006,131
84,19950202,105
85,20030103,143
86,19969014,136
87,20010038,113
88,20211472,121
89,20090578,152
90,20227506,54
91,20169284,94
92,20219820,82
93,20223456,78
94,20215601,128
95,20211244,84
96,20197922,107
97,20209137,79
98,20196776,89
99,20225892,177
100,20211792,125
101,20162242,106
102,20218685,76
103,20080266,90
104,20192601,74
105,20217391,114
106,20209934,82
107,19970018,120
108,19420001,102
109,20060048,132
110,20196410,140
111,19970284,144
112,20226879,99
113,20211382,108
114,19770022,76
115,20211219,95
116,20208721,87
117,19520022,
118,19960057,111
119,19990082,114
120,20020141,102
121,19920366,129
122,19990138,123
123,19960318,102
124,19860124,125
125,19610001,150
126,20183772,99
127,20204117,121
128,20219745,124
129,20225956,72
130,20100222,95
131,20212392,118
132,20224494,100
133,20224757,92
134,20050210,85
135,20225114,79
136,20000272,108
137,20218527,125
138,20226579,60
139,20178501,111
140,20204548,105
141,20040556,136
142,20225897,89
143,20185361,112
144,20185161,107
145,20175441,114
146,20188393,104
147,20215048,85
148,20208446,142
149,20226207,124
150,20173826,97
151,20225186,95
152,20225190,69
153,20201815,78
154,19950040,110
155,19920077,114
156,20217982,122
157,19780066,172
158,20217769,101
159,20223986,79
160,20136057,126
161,20129370,128
162,20090077,136
163,19970099,161
164,19860130,160
165,19980230,214
166,20224882,137
167,20209945,74
168,20209269,108
169,20225180,90
170,19958426,170
171,19890091,110
172,20060170,100
173,19960059,87
174,20224476,107
175,20225002,123
176,20224720,80
177,20204845,107
178,20204664,88
179,20211568,113
180,20181118,85
181,20224634,124
182,20040780,110
183,20210590,101
184,20040677,101
185,19900243,140
186,19780079,117
187,20200364,115
188,20172742,121
189,20224304,90
190,20224574,70
191,20219273,112
192,20223991,106
193,20217334,117
194,20216753,46
195,20201845,83
196,20217218,108
197,20201792,98
198,20201464,95
199,20206424,107
200,20225055,141
201,20217298,112
202,20126674,125
203,20201688,67
204,20207498,120
205,20196669,111
206,19650001,160
207,20209348,101
208,20207567,101
209,20197520,89
210,20196906,98
211,20040598,136
212,20207568,93
213,20217102,92
214,20219711,99
215,20190299,117
216,20223620,92
217,20223939,88
218,19790082,125
219,20209298,110
220,20200524,90
221,20209954,81
222,20198414,101
223,20217123,96
224,20224302,105
225,20174169,111
226,20209273,97
227,20199500,119
228,20200474,116
229,20160261,88
230,19850042,115
231,20224509,63
232,19940028,120
233,20223722,92
234,20224142,114
235,20223799,71
236,20217427,85
237,20211931,102
238,20209186,99
239,20210690,64
240,20211549,65
241,20198303,128
242,20212618,122
243,20190470,112
244,20209143,81
245,20158358,110
246,20071054,102
247,20200295,90
248,20120108,108
249,20167867,113
250,20200302,95
251,19980011,113
252,20101229,86
253,19900105,104
254,20191041,78
255,20223326,73
256,20208006,146
257,20188441,123
258,20134122,112
259,20111250,135
260,20175407,143
261,20184133,107
262,20181103,138
263,20205261,87
264,20197961,121
265,20223124,86
266,20216082,69
267,20176251,122
268,20181434,106
269,20216432,85
270,20200292,73
271,20223714,71
272,20223415,137
273,20190665,115
274,20212952,89
275,20209185,107
276,19800052,95
277,19730041,99
278,19840062,95
279,19830051,90
280,19790065,92
281,19799096,90
282,19820026,106
283,19780046,90
284,20212705,76
285,20199882,119
286,20101110,91
287,20204144,92
288,20192354,108
289,20201965,125
290,20060250,120
291,19970064,90
292,20040666,104
293,19980150,113
294,20192599,116
295,20050076,119
296,20213004,69
297,20211581,71
298,20207569,101
299,20196264,108
300,20191282,72
301,20195959,104
302,20217807,137
303,20172469,120
304,20070063,137
305,20210243,65
306,20189076,79
307,20210689,90
308,20030350,120
309,19758144,103
310,20159644,120
311,20211241,96
312,19960040,89
313,20218884,73
314,19830029,98
315,19770058,102
316,20101394,85
317,19790061,90
318,19820066,100
319,20209182,82
320,20204388,106
321,20060365,106
322,20218647,90
323,20030131,115
324,20159646,139
325,20072152,139
326,20209926,114
327,20190582,116
328,20192193,114
329,20176102,91
330,20209184,77
331,20211945,103
332,20050270,96
333,20205986,94
334,20000067,116
335,20210038,83
336,20206464,88
337,20211700,89
338,20030153,118
339,20210756,91
340,19950190,105
341,20218872,60
342,20209021,90
343,20191243,113
344,19990193,136
345,20182530,111
346,20203286,119
347,20218258,101
348,20209299,114
349,20183003,114
350,20189638,100
351,20202462,128
352,20211413,87
353,20207587,99
354,20209295,82
355,20151782,120
356,20050162,108
