num,movie,sentence,score
1,싸인,평점 왜 낮은지 모르겠네ㅠㅠㅠ,10
2,리멤버,"친일청산과 역사바로세우기..지치지말고 끝까지해야합니다..친일하면 3대가호강하고 독립운동하면 멸문지화를 당했던 우리의아픈역사바로세우기 잊지말고, 지치지말고, 멈추지마말고해야겠습니다.",8
3,자백,소재는 다르지만 이런 방식의 다양한 결말 전개방식을 보여준 영화가 몇 몇 있었는데 개인적으로 선호하지는 않습니다.,7
4,20세기 소녀,걍 내 고딩시절 너무 생각나고 나도 방송반이 었는데 ㅡㅡ 너무 아련하면서 즐겁고 재밌고 슬프고 혼자 다한영화,10
5,12 솔져스,졸려서 앞부분은 잤어요,4
6,인생,장예모와 공리는  자체로 예술이다,10
7,도리화가,훌륭한 배우들을 썩힌 영화. 마이너스 별점을 주고싶은 영화. 여주인공 소리연기 발성이 염려되어서인지 클라이막스 소리연기할 때마다 맞지도 않는 배경음악 깔고.... 도대체 ... 관람객들 다 아는데 눈속임하는 감독의 노력이 돋보이는 영화,1
8,리멤버,이야기도 재미있고 액션 연출도 좋고 배우들 연기도 좋은데 복수의 이유를 좀 더 관객이 울컥-공감 하도록 깊게 전달햇으면..,8
9,정직한 후보2,윤두준 캐스팅은 개오바아니냐 ㅋ이게 흥행 할줄 알고 만든거냐 ㅋ1편에서 끝내지...보는 내내 오그라드는줄 알앗다 윤두준땜에 ㅋ,1
10,공조2: 인터내셔날,생각했던거보다 별로네,3
11,극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,개인적으로 선인장이 재미있었는데 선인장을 뛰어넘었고. 감동스토리가 더해짐,10
12,리멤버,22년이 저물어가면서 한국영화는 모조리 다 봤지만 리멤버가 최곱니다. 쓸떼없이 짜지않고 억지국뽕없고 한 노인의 처절한 싸움에 심금이 울립니다..이성민배우님 최고세요!,10
13,자백,진짜 재미없네요 다시는 보고싶지 않습니다 이거 보면 후회 합니다 팝콘 먹는거에 집중했습니다 이글을 보신다면 보지말아주세요,1
14,에브리씽 에브리웨어 올 앳 원스,솔직히 요새 3류 한국영화들 극장 시간대 다 차지하고 있는 것 자체가 너무 부끄럽게 만드는 정말 어나더클래스 영화,10
15,공조2: 인터내셔날,1편 감독이 만들지.... 1편 못따라가네..,2
16,닥터 슬립, 샤이닝의 변주...샤이닝을 오마주하고 이렇게 풀어내다니..,8
17,늑대사냥,여긴 아직도 조선시대?이제 좀 제대로 잔인한 영화가 나와서 오직 그것만 볼만했네..ㅋㅋ,10
18,외계+인 1부,상상력 돋는 연출과 액션연기 너무 좋아요. 두번 세번 봐도 재미있어요,10
19,늑대사냥,이런영화 만들 돈으로 기부를 하시지..별 반개도 아까움 그냥 평 달기위한 수단일뿐 점수는 0점,1
20,비상선언,감독이 우리나라 국민들 알기를 개같이 아네 실제로 이런일이 일어난다면 우리나라 사람들이 착륙을 반대하겠냐?,2
21,명탐정 코난: 할로윈의 신부,친구랑 영화관에서 봤는데 너무 재밌더라고요..한번 더 보러 가고싶어요 ㅋㅋ ,10
22,리멤버,뻔한 스토리의 감성팔이 영화. 치매 노인 설정은 왜 한건지,1
