,peopleCd,movieCd,cast
136,20339145,20209343,기타단역
177,20132899,20209343,의병1
336,20383978,20209343,세작5
546,10057492,20209343,황박
676,20385164,20209343,왜군 세키부네 부장3
811,20385189,20209343,왜군 세키부네 부장1
947,20385163,20209343,정운 부장2
1083,20385188,20209343,이억기 부장2
1216,20385162,20209343,어영담 부장2
1352,20385161,20209343,원균 부장4
1487,20385160,20209343,원균 부장2
1622,20385187,20209343,경상우수영 장수2
1756,20385186,20209343,전라좌수영 초병
1890,20385159,20209343,이순신 기라졸1
2020,20385185,20209343,준사 왜군포로2
2154,20385184,20209343,가토 부장6
2290,20385158,20209343,가토 부장5
2426,20385183,20209343,가토 부장4
2561,20385182,20209343,가토 부장2
2684,20385157,20209343,기생5
2819,20385181,20209343,기생3
2953,20385180,20209343,이순신격군장
3081,20385179,20209343,김완부장
3216,20385178,20209343,사헤에첩보대5
3349,20385177,20209343,세작4
3485,20385176,20209343,세작3
3609,20385175,20209343,노 공연자
3733,20385174,20209343,어영담부장
3869,20385173,20209343,여진족장
4000,20385156,20209343,이영남
4117,10006228,20209343,보름
4252,20308770,20209343,준사
4384,10029474,20209343,이순신
4537,20332943,20209343,와타나베 사치에몬
4769,20374391,20209343,세기부네부장
4848,20384697,20209343,조선통역군관
5053,20384611,20209343,어영담 부장3
5070,20384488,20209343,
5286,20384481,20209343,기생4
5473,20383420,20209343,왜군 신호병
5587,20382948,20209343,웅치전투 척후병2
5735,20382759,20209343,원균 부장3
5832,20382433,20209343,기생2
5955,20382253,20209343,사헤에첩보대4
6038,20110896,20209343,나대용
6224,20381998,20209343,세작2
6338,20381806,20209343,와키자카부장1
6495,20381362,20209343,보름어머니
6594,10004210,20209343,이언량
6798,20381020,20209343,기생9
6923,20380967,20209343,정운격군장
7119,20380378,20209343,이순신 판옥선 화포장
7208,20379824,20209343,기생8
7333,20378566,20209343,이영남부장
7485,20378439,20209343,이순신시종아이
7546,10066926,20209343,마나베 사마노조
7674,20147110,20209343,와키자카 야스하루
7848,20378056,20209343,와타나베부장
7952,20127194,20209343,가토
8174,20376175,20209343,사헤에 부장2
8313,20376173,20209343,준사 부관
8460,20143233,20209343,이순신 함대 부장1
8600,20375886,20209343,웅치전투 척후병1
8644,20375655,20209343,이운룡
8891,20375575,20209343,이운룡 부장3
9013,20372981,20209343,정담부장
9108,20372957,20209343,사헤에첩보대6
9207,20371194,20209343,이봉수
9405,20365461,20209343,와키자카 부장4
9557,20365425,20209343,이순신 함대 부장2
9631,20239308,20209343,이광
9739,10054493,20209343,구로다 칸베에
9886,20291839,20209343,권준
10016,20237747,20209343,구키 요시타카
10207,20181958,20209343,신호부장
10300,10001907,20209343,고바야카와 다카카케
10435,20313725,20209343,이기남
10676,20369541,20209343,왜군 세키부네 부장2
10700,20253678,20209343,송희립
10844,20346172,20209343,신호
11010,20250669,20209343,이억기부장
11172,20367626,20209343,김완격군장
11330,20362077,20209343,가토 부장3
11500,20367191,20209343,왜군 세키부네 부장4
11613,20317132,20209343,이순신 함대 부장3
11700,20125732,20209343,황진
11892,20366286,20209343,이순신 기라졸2
11971,20344225,20209343,사헤에첩보대2
12133,20337931,20209343,기생1
12228,20322086,20209343,와키자카패잔병
12404,20357123,20209343,원균격군장
12470,10043371,20209343,어영담
12667,20358660,20209343,사헤에첩보대3
12835,20358658,20209343,가토 부장1
12994,20357414,20209343,세작6
13085,20357125,20209343,우치적
13220,20357121,20209343,정운부장1
13420,20355994,20209343,왜경계병1
13477,20355598,20209343,좌수영전령
13572,20179005,20209343,이억기
13719,20157197,20209343,정운
13929,20344594,20209343,사헤에첩보대7
14088,20343971,20209343,경상우수영 장수1
14165,10043785,20209343,일본중
14349,20343545,20209343,준사 왜군포로1
