,peopleCd,movieCd
0,10006204,20209343
1,20203375,20209343
2,10027774,20190323
3,10089855,20190323
4,10067370,20182490
5,10005151,20150976
6,10054496,20150976
7,20189544,20150976
8,10007424,20162181
9,10080482,20162181
10,10027774,20152371
11,10089855,20152371
12,20279209,20178401
13,20348912,20178401
14,20144326,20178401
15,10090707,20178401
16,10036861,20191121
17,10062136,20183085
18,10087180,20191845
19,20151358,20100296
20,10057235,20100296
21,10062149,20100296
22,20293590,20196701
23,20210671,20196701
24,20331072,20196701
25,20341917,20191221
26,20325076,20191221
27,10002413,20060005
28,10004407,20060005
29,20238807,20050064
30,10054492,20050064
31,10004407,20050064
32,10065792,20050064
33,10005032,20050064
34,10037027,20050064
35,10026426,20020164
36,10058831,20020164
37,20302409,20020164
38,10008226,20020164
39,10003971,20020164
40,10057103,20198461
41,10054495,20198461
42,20312215,20198461
43,20138721,20198461
44,10006413,19790068
45,10071587,20139164
46,20196126,20139164
47,10072851,20139164
48,10064623,20139164
49,10071587,19770048
50,20196126,19770048
51,10072851,19770048
52,10064623,19770048
53,10072874,19760030
54,10058483,19740136
55,20112657,19740136
56,10058483,19740137
57,10003717,20080895
58,10062315,20080895
59,10057805,20080895
60,10084985,20080895
61,20128609,20208721
62,20111176,20208721
63,20231007,20196672
64,20125826,20211472
65,20111250,20194461
66,20326812,20187981
67,10071129,20187981
68,20314390,20187981
69,20359672,20179006
70,20157236,20179006
71,10058081,20179006
72,20359672,19860053
73,20157236,19860053
74,10058081,19860053
75,10040434,20211382
76,20184561,20211382
77,20285612,20211382
78,10040434,20196675
79,20293590,20196675
80,20184561,20196675
81,10067135,20196675
82,10040434,19518016
83,20293590,19518016
84,20184561,19518016
85,10067135,19518016
86,20193556,20215108
87,10072304,20215108
88,10050570,20110131
89,20111853,20110131
90,10058026,20208101
91,10058026,20208101
92,20164846,20208101
93,20305072,20208101
94,20324913,20060066
95,10060606,20060066
96,10039191,20060066
97,20188908,20211546
98,10090165,20150966
99,10069178,20150966
100,20165346,20145506
101,20110989,20145506
102,10061405,20145506
103,20128390,20147176
104,20303629,20224717
105,20156999,20224717
106,20301289,20197853
107,20258409,20197853
108,20167260,20197853
109,20158266,20070010
110,10072366,20070010
111,20237087,20040554
112,20353592,20040554
113,20380349,20040554
114,10028506,20040554
115,20327852,20040554
116,20189538,20040554
117,10004439,20040554
118,10058081,20040554
119,10089612,20040554
120,20173661,20040554
121,20142138,20040554
122,20128991,20040554
123,20128990,20040554
124,10057321,20040554
125,10060189,20040613
126,10060414,20040613
127,10029224,20040613
128,20134129,20040613
129,10087738,20040613
130,10001898,20040613
131,10029181,20040514
132,10000783,20040514
133,10052582,20040514
134,10003753,20040514
135,20278109,20175547
136,20306134,20175547
137,10000946,20175547
138,20110970,20170942
139,10050553,20170942
140,10005852,20170942
141,20284329,20170942
142,10050896,20170942
143,20189119,20177005
144,20125862,20177005
145,20287367,20177005
146,10001939,20177005
147,10031655,20177005
148,20166705,20160483
149,20177441,20160483
150,20244811,20160483
151,20157239,20157064
152,20239026,20157064
153,20187952,20157064
154,20299278,20157064
155,10019026,20157064
156,10034201,20157064
157,10049814,20156564
158,20377929,20156564
159,20203375,20156564
160,20227362,20156564
161,20381127,20090023
162,10089708,20090023
163,10058219,20090023
164,20206918,20168247
165,20206386,20168247
166,10029969,20173612
167,20219087,20173612
168,10030297,20159648
169,20203375,20159648
170,10000873,20159648
171,10000783,20159648
172,20206918,20158705
173,20206386,20158705
174,20274109,20158705
175,10065952,20081648
176,20080184,20081648
177,10043799,20081648
178,20135180,20081648
179,10026501,20218527
180,20328877,20191422
181,20325197,20191422
182,10029578,20185341
183,20300393,20185341
184,10047368,20185341
185,20157236,20185341
186,20183059,20185341
187,10029578,20136864
188,20300393,20136864
189,10047368,20136864
190,20157236,20136864
191,20183059,20136864
192,20293189,20188441
193,10031356,20188441
194,10067268,20188441
195,10031641,20183782
196,20212657,20188421
197,10072551,20188421
198,10006129,20188421
199,20344205,20197846
200,20303809,20197846
201,20173090,20197846
202,10057273,20197846
203,10030877,20197846
204,20280749,20170658
205,20216453,20170658
206,10004291,20170658
207,20123348,20161681
208,10056570,20161681
209,20125803,20161726
210,20222226,20142855
211,20227362,20142855
212,10088447,20142855
213,20384894,20130442
214,20218608,20130442
215,10058053,20130442
216,10060606,20130442
217,10006219,20130442
218,10004662,20130442
219,20217448,20130442
220,10003590,20137041
221,10089497,20137041
222,20186696,20137041
223,10003590,20121741
224,10089497,20121741
225,20186696,20121741
226,20153842,20113554
227,10027774,20113554
228,20124307,20113554
229,20123348,20124050
230,10031365,20124050
231,10060422,20124050
232,20135180,20119619
233,10058845,20119619
234,10072794,20119619
235,10004265,20101221
236,10004439,20101221
237,10005643,20101221
238,10003590,20100787
239,10089497,20100787
240,10056927,20100787
241,20067121,20090667
242,20123348,20090667
243,10004407,20090667
244,10056927,20090667
245,10029380,20090667
246,10065915,20081718
247,10057277,20081718
248,10028598,20081718
249,10000900,20081718
250,10089497,20080052
251,10058494,20080052
252,20122886,20080052
253,20158266,20080052
254,10056927,20080052
255,10035308,20080052
256,20128609,20072520
257,20151358,20072520
258,10026501,20072520
259,10061632,20072520
260,10006129,20060280
261,10054443,20060280
262,10060414,20060025
263,10050085,20060025
264,20151358,20050086
265,20329957,20050086
266,10000818,20050086
267,10027781,20050086
268,10036855,20050086
269,10050932,20050086
270,10004197,20050086
271,10056927,20050086
272,10034111,20050086
273,10000497,20050086
274,20111795,20050086
275,10065272,20040515
276,20110989,20040515
277,10058845,20040515
278,10005452,20040515
279,10005632,20030015
280,10057302,20030014
281,10054784,20020242
282,10061563,20020242
283,10004574,20020242
284,10026426,20020303
285,20111213,20020303
286,10054870,20020197
287,10031397,20020197
288,20112662,20020197
289,20064125,20020197
290,10066810,20020054
291,10058504,20020054
292,10055931,20020054
293,10003590,20090684
294,10013843,20090684
295,10029381,20209654
296,20112491,20211549
297,10000533,20199816
298,20353972,20199816
299,10054492,20199816
300,10062253,20195002
301,20189564,20195002
302,20326616,20183407
303,20283669,20183407
304,10061220,20183407
305,20302810,20183407
306,20165316,20183407
307,10057548,20090862
308,20123348,20090862
309,10065915,20090862
310,10057210,20090862
311,10090909,20090862
312,20110174,20219628
313,10062427,20219628
314,20318815,20219628
315,10072187,20208446
316,20289969,20208446
317,20210767,20208446
318,20299333,20208446
319,10005886,20178501
320,20134129,20204845
321,10019069,20204117
322,20166705,20204117
323,10005151,20204117
324,20203375,20204117
325,10027774,20201815
326,20278509,20201815
327,20166850,20201815
328,20177898,20217218
329,20216329,20217218
330,10057485,20197434
331,20312892,20197434
332,20309474,20197434
333,10031639,20197434
334,20110174,20193321
335,10062427,20193321
336,20112573,20198414
337,20267689,20198414
338,20210767,20198414
339,20345932,20198414
340,20157239,20195920
341,20112006,20195920
342,10019069,20177539
