,movieCd,movieNm,movieNmEn,openDt,repNationNm,genreCd,companys,watchCd,url,runtime
0,20209343,한산: 용의 출현,Hansan: Rising Dragon,20220727,한국,0,(주)빅스톤픽쳐스,12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20220727_209%2F1658912961873lVd2W_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,129.0
1,20190323,새해전야,NEW YEAR BLUES,20210210,한국,1,(주)수필름,12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20210217_105%2F1613522931191Xy0ke_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,114.0
2,20182490,나랏말싸미,The King's Letters,20190724,한국,2,(주)영화사두둥,all,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20190722_100%2F1563762337429ztWu1_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,109.0
3,20150976,신과함께-죄와 벌,Along with the Gods: The Two Worlds,20171220,한국,3,리얼라이즈픽쳐스(주),12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20201230_252%2F1609304926719vwxpF_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,139.0
4,20162181,프리즌,The Prison,20170323,한국,4,(주)큐로홀딩스,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20170308_197%2F1488935001510TfDtR_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,124.0
5,20152371,"당신, 거기 있어줄래요",Will You Be There?,20161214,한국,3,(주)수필름,12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20161124_88%2F1479951959050RqcvW_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,110.0
6,20178401,검객,The Swordsman,20200923,한국,0,오퍼스픽쳐스(유),15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20200923_268%2F1600823900967BHEbW_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,100.0
7,20191121,7월7일,On July 7,20200902,한국,5,필름소년,12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20200814_90%2F15973744000046HwdI_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,89.0
8,20183085,질투의 역사,A History of Jealousy,20190314,한국,1,(주)유앤정필름 ,15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20190227_53%2F1551228724252dhxiq_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,94.0
9,20191845,난폭한 기록,Fist & Furious,20190711,한국,4,유한회사 영화사 반딧불,19,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20190703_177%2F1562120909453A6is5_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,90.0
10,20100296,포화속으로,71-Into The Fire,20100616,한국,5,(주)태원엔터테인먼트,12,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111223_44%2F1324618561837t2XF2_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,120.0
11,20196701,69세,An Old Lady,20200820,한국,5,(주)기린제작사,15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20200804_267%2F1596505576712zw2dt_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,99.0
12,20191221,법피아,Mafia of the Law,20190502,한국,6,월드 영화사,15,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20191119_101%2F1574156472288Tfhiq_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,100.0
13,20060005,맨발의 기봉이,Barefoot Ki-Bong,20060426,한국,5,(주)태원엔터테인먼트,all,https://search.pstatic.net/common?type=o&size=174x242&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20111222_296%2F1324558713277YVGi7_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,100.0
