actorId,actorName
31,Tom Hanks
12898,Tim Allen
7167,Don Rickles
12899,Jim Varney
12900,Wallace Shawn
7907,John Ratzenberger
8873,Annie Potts
1116442,John Morris
12901,Erik von Detten
12133,Laurie Metcalf
8655,R. Lee Ermey
2157,Robin Williams
8537,Jonathan Hyde
205,Kirsten Dunst
145151,Bradley Pierce
5149,Bonnie Hunt
10739,Bebe Neuwirth
58563,David Alan Grier
1276,Patricia Clarkson
46530,Adam Hann-Byrd
56523,Laura Bell Bundy
51551,James Handy
56522,Gillian Barber
6837,Walter Matthau
3151,Jack Lemmon
13567,Ann-Margret
16757,Sophia Loren
589,Daryl Hannah
16523,Burgess Meredith
7166,Kevin Pollak
67773,Steve Martin
3092,Diane Keaton
519,Martin Short
70696,Kimberly Williams-Paisley
59222,George Newbern
18793,Kieran Culkin
14592,BD Wong
20906,Peter Michael Goetz
54348,Kate McGregor-Stewart
209,Jane Adams
26510,Eugene Levy
24358,Lori Alan
1158,Al Pacino
380,Robert De Niro
5576,Val Kilmer
10127,Jon Voight
3197,Tom Sizemore
6200,Diane Venora
15851,Amy Brenneman
15852,Ashley Judd
34,Mykelti Williamson
524,Natalie Portman
15854,Ted Levine
119232,Tom Noonan
31004,Tone Loc
5587,Hank Azaria
15853,Wes Studi
352,Dennis Haysbert
11160,Danny Trejo
9290,Henry Rollins
886,William Fichtner
34839,Kevin Gage
4158,Susan Traylor
86602,Jerry Trimble
158452,Ricky Harris
12799,Jeremy Piven
3982,Xander Berkeley
181343,Begonya Plaza
81687,Rick Avery
3,Harrison Ford
15887,Julia Ormond
17141,Greg Kinnear
4301,Angie Dickinson
12957,Nancy Marchand
8937,John Wood
16554,Richard Crenna
34485,Lauren Holly
13314,Dana Ivey
20234,Fanny Ardant
73827,Patrick Bruel
13242,Paul Giamatti
1163,Miriam Colón
138242,Elizabeth Franz
62531,Valérie Lemercier
59206,Becky Ann Baker
53283,Jonathan Taylor Thomas
51214,Brad Renfro
38581,Rachael Leigh Cook
8316,Michael McShane
87007,Amy Wright
57448,Eric Schweig
102313,Tamara Mello
15111,Jean-Claude Van Damme
6280,Powers Boothe
8656,Dorian Harewood
10361,Raymond J. Barry
12928,Ross Malinger
517,Pierce Brosnan
48,Sean Bean
10695,Izabella Scorupco
10696,Famke Janssen
10671,Joe Don Baker
5309,Judi Dench
3757,Gottfried John
1923,Robbie Coltrane
10697,Alan Cumming
10698,Tchéky Karyo
9906,Desmond Llewelyn
10699,Samantha Bond
10648,Michael Kitchen
10700,Serena Gordon
10701,Simon Kunz
3392,Michael Douglas
516,Annette Bening
521,Michael J. Fox
8349,Martin Sheen
63279,Anna Deavere Smith
112080,Shawna Waldron
20767,Samantha Mathis
19839,David Paymer
3037,Richard Dreyfuss
42133,Nina Siemaszko
61980,Wendie Malick
78494,Beau Billingslea
42003,Gail Strickland
131642,Joshua Malina
7633,Leslie Nielsen
14639,Mel Brooks
1219,Amy Yasbeck
12688,Peter MacNicol
12812,Lysette Anthony
13640,Harvey Korman
6106,Steven Weber
29709,Mark Blankfield
53570,Megan Cavanagh
170185,Gregg Binkley
10774,Anne Bancroft
4724,Kevin Bacon
382,Bob Hoskins
2233,Bridget Fonda
12077,Jim Cummings
110001,Phil Collins
4173,Anthony Hopkins
11148,Joan Allen
228,Ed Harris
5249,E.G. Marshall
11076,David Hyde Pierce
7004,Paul Sorvino
2453,Mary Steenburgen
22131,J.T. Walsh
4512,James Woods
70843,Brian Bedford
14721,Kevin Dunn
56687,Fyvush Finkel
49425,Annabeth Gish
16935,Geena Davis
8654,Matthew Modine
8924,Frank Langella
7868,Maury Chaykin
8979,Patrick Malahide
16936,Stan Shaw
16937,Rex Linn
13925,Paul Dillon
35769,Christopher Masterson
204,Kate Winslet
7056,Emma Thompson
3291,Hugh Grant
207,Tom Wilkinson
4566,Alan Rickman
20769,Imogen Stubbs
16700,Greg Wise
41419,Hugh Laurie
11356,Imelda Staunton
23076,Robert Hardy
31923,Oliver Ford Davies
10726,James Fleet
17477,Harriet Walter
9138,Gemma Jones
3129,Tim Roth
3131,Antonio Banderas
3130,Jennifer Beals
3125,Madonna
3141,Marisa Tomei
62,Bruce Willis
138,Quentin Tarantino
3122,Sammi Davis
3123,Amanda de Cadenet
3124,Valeria Golino
3127,Lili Taylor
2545,Lawrence Bender
3126,Ione Skye
3128,Alicia Witt
2555,David Proval
206,Jim Carrey
3547,Ian McNeice
4001,Simon Callow
57096,Maynard Eziashi
4029,Bob Gunton
2598,Sophie Okonedo
88059,Tommy Davidson
31164,Adewale Akinnuoye-Agbaje
10814,Wesley Snipes
57755,Woody Harrelson
16866,Jennifer Lopez
9287,Robert Blake
2955,Chris Cooper
4887,Joe Grifasi
8891,John Travolta
193,Gene Hackman
14343,Rene Russo
518,Danny DeVito
10205,Sigourney Weaver
18686,Holly Hunter
883,Will Patton
18687,William McNamara
18688,Harry Connick Jr.
5169,J.E. Freeman
20212,Dermot Mulroney
60205,John Rothman
16483,Sylvester Stallone
1231,Julianne Moore
58556,Anatoli Davydov
17348,Muse Watson
14328,Steve Kahan
2963,Nicolas Cage
1951,Elisabeth Shue
6104,Julian Sands
6105,Richard Lewis
2975,Laurence Fishburne
1350,Irène Jacob
11181,Kenneth Branagh
27631,Nathaniel Parker
232174,Indra Ové
17483,Michael Maloney
1227643,Anna Patrick
32357,Nicholas Farrell
3968,Michael Sheen
6886,Christina Ricci
30318,Amanda Root
8785,Ciarán Hinds
87415,Susan Fleetwood
10981,Fiona Shaw
14465,John Woodvine
3930,Phoebe Nicholls
54447,Samuel West
32990,Sophie Thompson
45455,Judy Cornwell
57461,Simon Russell Beale
42645,Felicity Dean
27660,Roger Hammond
55645,Victoria Hamilton
13328,Corin Redgrave
1160,Michelle Pfeiffer
10477,George Dzundza
24047,Courtney B. Vance
11902,Robin Bartlett
12642,John Neville
168638,Beatrice Winde
81726,Lorraine Toussaint
28863,Renoly Santiago
975133,Wade Dominguez
188642,Bruklin Harris
289,Madeleine Stowe
287,Brad Pitt
290,Christopher Plummer
52,David Morse
288,Jon Seda
291,Frank Gorshin
975569,Joseph Melito
1273540,Aaron Michael Lacey
22227,Christopher Meloni
1318900,Joey Perillo
534231,LisaGay Hamilton
11154,Matt Ross
66094,Annie Golden
1077231,Michael Chance
1571784,Vernon Campbell
1571785,H. Michael Walls
1328063,Bob Adrian
37891,Simon Jones
1077235,Carol Florence
7576,Bill Raymond
59112,Ernest Abuba
155573,Irma St. Paule
1571787,Rozwill Young
1571788,Nell Johnson
292,Frederick Strother
127069,Charles Techman
163795,Rick Warner
378,Jonathan Pryce
27764,Steven Waddington
17328,Rufus Sewell
1249,Penelope Wilton
47627,Janet McTeer
18325,Jeremy Northam
83701,Alex Kingston
4038,Susan Sarandon
2228,Sean Penn
10360,Robert Prosky
1989,Celia Weston
1796,Kirstie Alley
26472,Steve Guttenberg
67848,Ashley Olsen
67849,Mary-Kate Olsen
92255,Jane Sibbett
6541,Philip Bosco
5588,Alicia Silverstone
58150,Stacey Dash
328,Brittany Murphy
22226,Paul Rudd
49002,Donald Faison
58151,Elisa Donovan
33654,Breckin Meyer
23958,Jeremy Sisto
6486,Dan Hedaya
66160,Twink Caplan
15152,James Earl Jones
17764,Charles S. Dutton
1327,Ian McKellen
388,Jim Broadbent
5470,Kristin Scott Thomas
42566,Adrian Dunbar
10978,Maggie Smith
41043,Tim McInnerny
3223,Robert Downey Jr.
3545,Edward Hardwicke
15788,Nigel Hawthorne
20070,Jim Carter
17287,Dominic West
104795,Bill Paterson
20425,Donald Sumpter
7027,James Dreyfus
1271092,Derek Lyons
18291,Larenz Tate
65827,Keith David
66,Chris Tucker
6862,Freddy Rodríguez
5344,Meg Ryan
4783,Sam Neill
11207,David Thewlis
6416,Polly Walker
27762,Ian McDiarmid
97170,Mary MacLeod
38559,Christopher Lambert
57250,Robin Shou
57251,Linden Ashby
11398,Cary-Hiroyuki Tagawa
20751,Bridgette Wilson
10680,Talisa Soto
57252,Trevor Goddard
57253,Chris Casamassa
2227,Nicole Kidman
2876,Matt Dillon
73421,Joaquin Phoenix
1893,Casey Affleck
7796,Illeana Douglas
2841,Alison Folland
4201,Wayne Knight
224,David Cronenberg
2115,Kurtwood Smith
11318,Holland Taylor
1920,Winona Ryder
9560,Ellen Burstyn
18794,Kate Nelligan
14500,Jean Simmons
54424,Maya Angelou
1981,Alfre Woodard
2207,Lois Smith
689,Kate Capshaw
9626,Rip Torn
51670,Johnathon Schaech
59662,Joanna Going
5700,Esther Rolle
7499,Jared Leto
6194,Claire Danes
78788,Lecy Goranson
40275,Tim Guinee
192,Morgan Freeman
12052,Gwyneth Paltrow
11885,John C. McGinley
1979,Kevin Spacey
6487,Richard Roundtree
31028,Richard Schiff
1558263,Julie Araskog
534,Mark Boone Junior
12055,John Cassini
38951,Reg E. Cathey
65529,Irene Bedard
2461,Mel Gibson
28010,David Ogden Stiers
