actorId,movieId,characterName,characterOrder
1 ,44345 ,Himself,7 
1 ,326591 ,Himself,3 
2 ,11428 ,Lt. Jennings,16 
2 ,14711 ,Bin,2 
2 ,17074 ,The Joker (voice),6 
2 ,25913 ,Niju the Evil Wolf (voice),4 
2 ,137200 ,Bunker (voice),3 
2 ,275287 ,Von Nebula (voice),9 
2 ,312100 ,Walter (voice),2 
3 ,9331 ,Jack Ryan,0 
3 ,12618 ,Dutch Van Den Broeck,0 
4 ,17926 ,Carrie,1 
4 ,52461 ,Herself,0 
4 ,329690 ,Herself,5 
5 ,3079 ,Baron Viktor Frankenstein,0 
5 ,16387 ,Doctor Who,0 
5 ,26680 ,SS Commander,0 
5 ,28715 ,Herbert Flay,1 
5 ,28771 ,Sherlock Holmes,0 
5 ,32613 ,Dr. Wells,1 
5 ,38006 ,Dr. John Rollason,1 
5 ,38939 ,Arthur Edward Grimsdyke,1 
5 ,52203 ,Dr. Robert Knox,0 
5 ,77173 ,Detective Inspector Quennell,0 
5 ,78256 ,Henry Miles,3 
6 ,12180 ,C-3PO (voice),7 
10 ,24589 ,Dug / Alpha (voice),0 
11 ,9793 ,Hansel,5 
13 ,10765 ,Yale Goodman,6 
13 ,50812 ,Norman Robbins,3 
13 ,64690 ,Bernie Rose,3 
13 ,127380 ,Marlin (voice),1 
14 ,31342 ,Janet Hall,2 
14 ,49981 ,Stg. Rita Pompano,3 
14 ,127380 ,Dory (voice),0 
18 ,10022 ,Vice Principal Dwayne Murney,7 
18 ,17035 ,Wally,13 
18 ,17074 ,Bibbo (voice),16 
19 ,10395 ,Party Guest,13 
19 ,89008 ,Carol Ostroff,3 
19 ,241071 ,The Astronomer,0 
20 ,888 ,Wilma Flintstone,1 
20 ,10320 ,Dr. Emma Temple,2 
22 ,6970 ,Blind Wally,5 
22 ,136254 ,Sir Les Patterson / Dame Edna Everage,0 
23 ,19621 ,Harry,4 
23 ,88285 ,,0 
31 ,9800 ,Andrew Beckett,0 
31 ,10023 ,Pep Streebeck,1 
31 ,16279 ,Mr. Gable,5 
31 ,77887 ,Woody (voice),3 
32 ,5955 ,Lori,3 
32 ,10994 ,Starr,3 
32 ,297762 ,General Antiope,2 
33 ,8744 ,Milo,2 
33 ,30946 ,Morgan,9 
33 ,31018 ,,6 
33 ,47115 ,Foster Pearse,1 
34 ,9073 ,Dwight Mercer,6 
40 ,874 ,Cardinal Wolsey,4 
40 ,965 ,Narrator (voice),8 
