companyId,companyName
3,Pixar Animation Studios
559,TriStar Pictures
2550,Teitler Film
10201,Interscope Communications
6194,Warner Bros.
19464,Lancaster Gate
306,Twentieth Century Fox Film Corporation
5842,Sandollar Productions
9195,Touchstone Pictures
508,Regency Enterprises
675,Forward Pass
4,Paramount Pictures
258,Scott Rudin Productions
932,Mirage Enterprises
14941,Constellation Entertainment
55873,Worldwide
58079,Mont Blanc Entertainment GmbH
2,Walt Disney Pictures
33,Universal Pictures
21437,Imperial Entertainment
23770,Signature Entertainment
60,United Artists
7576,Eon Productions
5,Columbia Pictures
97,Castle Rock Entertainment
6368,Enigma Pictures
56,Amblin Entertainment
4105,Amblimation
915,Hollywood Pictures
1504,Cinergi Pictures Entertainment
183,Le Studio Canal+
415,Laurence Mark Productions
8411,Metro-Goldwyn-Mayer (MGM)
14723,Carolco Pictures
10898,Légende Entreprises
11583,Syalis DA
11584,De Fina-Cappa
441,Columbia Pictures Corporation
14,Miramax Films
59,A Band Apart
5682,O Entertainment
10210,Morgan Creek Productions
216,Jersey Films
10104,New Regency Pictures
1885,Silver Pictures
5358,Canal+
10308,Dino De Laurentiis Company
23397,Donner/Shuler-Donner Productions
25061,Evansgideon/Lazar
175,Caravan Pictures
15547,Intial Productions
12,New Line Cinema
288,BBC Films
10103,Via Rosa Productions
10288,Don Simpson/Jerry Bruckheimer Films
507,Atlas Entertainment
17031,Classico
2537,Kennedy Miller Productions
694,StudioCanal
874,Cinéa
8363,Euston Films
19316,Freeway Films
30226,European Co-production Fund
31080,Polygram Filmed Entertainment
44821,Orsans Productions
406,Havoc
1382,PolyGram Filmed Entertainment
10163,Working Title Films
53390,Sony New Technologies
6130,Dualstar Productions
11661,Rysher Entertainment
89131,Orr & Cruickshank
53009,Miramax
85681,Distant Horizon
89840,Alpine Pty Limited
871,British Screen
34237,Mayfair Entertainment International
476,Underworld Entertainment
4174,Threshold Entertainment
364,The Rank Organisation
4286,Juno Pix
65394,Cecchi Gori Pictures
10217,Walt Disney Feature Animation
2480,Alliance Communications Corporation
361,Blue Parrot Productions
9168,Bad Hat Harry Productions
1030,Magnolia Pictures
7832,CiBy 2000
802,Egg Pictures
862,The Kennedy/Marshall Company
916,The Charlie Mopic Company
3492,Island Pictures
5441,Ivory Way Productions
