movieId,adult,popularity,originalTitle,overview,tagline,openDt,posterPath,directorId,genreId,countryId,runtime
17,0,5.69151,The Dark,Adèle and her daughter Sarah are traveling on the Welsh coastline to see her husband James when Sarah disappears. A different but similar looking girl appears who says she died in a past time. Adèle tries to discover what happened to her daughter as she is tormented by Celtic mythology from the past.,One of the living for one of the dead.,2006-01-26,/8fzjzQhLXl1afshhsE5Y3MGuco4.jpg,43,27,DE,87
20,0,10.3105,My Life Without Me,A Pedro Almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness.,,2003-03-07,/vVj92VBFUBzjqzLvBiPVVlJDp78.jpg,90,18,CA,106
59,0,11.1197,A History of Violence,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,Tom Stall had the perfect life... until he became a hero.,2005-09-23,/mz1qCHXxTUJm2AqOdW3IIpwYdo3.jpg,224,18,US,96
66,0,7.66124,Absolute Power,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,Corrupts Absolutely.,1997-02-14,/oJQdp09Oc51DkArsMDvgDLdWiDu.jpg,190,80,US,121
80,0,7.04896,Before Sunset,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,What if you had a second chance with the one that got away?,2004-02-10,/gycdE1ARByGQcK4fYR2mgpU6OO.jpg,564,18,US,80
82,0,11.7254,Miami Vice,Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.,No Law. No Rules. No Order.,2006-07-27,/3BsNsigWcET4tKLZZhJegw7eOjF.jpg,638,28,UY,134
92,0,0.406137,Megacities,Megacities is a documentary about the slums of five different metropolitan cities.,,1998-08-12,/svOFuJ0W3UTLqof10DVejjq94sw.jpg,801,99,AT,94
123,0,7.91479,The Lord of the Rings,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,Fantasy...beyond your imagination,1978-11-15,/1l3WpoF7TX9pOprX4XepCXjQXUV.jpg,16384,14,US,132
138,0,7.50313,Dracula,The legend of vampire Count Dracula begins here with this original 1931 Dracula film from Bela Lugosi.,The story of the strangest passion the world has ever known!,1931-02-12,/hA9kQrIwDHJKl1pt8GpJdDnBzim.jpg,1496,27,US,72
142,0,11.787,Brokeback Mountain,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ??3. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,Love is a force of nature.,2005-09-02,/z2DqVxj17aW6xpimRlCLfhKSfUm.jpg,1614,18,CA,134
148,0,12.7756,The Secret Life of Words,A touching story of a deaf girl who is sent to an oil rig to take care of a man who has been blinded in a terrible accident. The girl has a special ability to communicate with the men on board and especially with her patient as they share intimate moments together that will change their lives forever.,,2005-12-15,/rlJWRiW74PAIrozd2d6X7e61Rq9.jpg,90,18,ES,112
154,0,7.16024,Star Trek II: The Wrath of Khan,Admiral James T. Kirk is feeling old; the prospect of accompanying his old ship the Enterprise on a two week cadet cruise is not making him feel any younger. But the training cruise becomes a a life or death struggle when Khan escapes from years of exile and captures the power of creation itself.,At the end of the universe lies the beginning of vengeance.,1982-06-03,/7VKpj4Xl3hTzgAS3xpVuOyqNnSv.jpg,1788,28,US,113
157,0,6.1973,Star Trek III: The Search for Spock,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.,A dying planet. A fight for life.,1984-05-31,/b9ZaPiD6AaZR7CgQP5P4Kg893QL.jpg,1749,878,US,105
162,0,17.6122,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,His scars run deep.,1990-12-05,/kgLTB53HinftRRwhft7yrUOclDC.jpg,510,14,US,105
172,0,12.308,Star Trek V: The Final Frontier,Capt. Kirk and his crew must deal with Mr. Spock's half brother who kidnaps three diplomats and hijacks the Enterprise in his obsessive search for God.,Adventure and imagination will meet at the final frontier.,1989-06-09,/kugwPq2E5IkzrgoxRycnoqqUS9H.jpg,1748,878,US,107
178,0,13.1551,Blown Away,Blown Away tells the story of Jimmy Dove who works for the Boston bomb squad. Shortly after Dove leaves the force his partner is killed by a bomb that Dove thinks might have been made by someone he knows.,5. 4. 3. 2. 1......Time's Up.,1994-07-01,/elDZEW6wkGHTAwIUDrNMARNgxPY.jpg,2042,18,US,121
189,0,20.6236,Sin City: A Dame to Kill For,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,There is no justice without sin.,2014-08-20,/k80qKrJ0qQ6ocVo5N932stNSg6j.jpg,2294,80,US,102
193,0,8.10571,Star Trek: Generations,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,Boldly go.,1994-11-17,/wjrXjlNpDq9U8vYmAwf420yDFtn.jpg,2380,878,US,118
223,0,8.59081,Rebecca,A self-conscious bride is tormented by the memory of her husband's dead first wife.,The shadow of this woman darkened their love.,1940-04-12,/eIkJjEbQcPasYvoNHKueFrfgpX4.jpg,2636,18,US,130
233,0,3.38637,The Wanderers,"""The streets of the Bronx are owned by 60??s youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ??The Wanderers.??","It was the Wanderer's Against The World...""""""",1979-07-13,/l76lnVXe34KumtSd28dSHqZ9Uw5.jpg,648,18,US,117
237,0,5.23542,Young Adam,A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.,Everyone has a past. Everyone has a secret.,2003-09-26,/eZDKfjjI5IhqKCOLHonTvKpPnNr.jpg,3055,18,FR,93
241,0,11.2269,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,The Media Made Them Superstars.,1994-08-25,/w5sruoTQ87PFAGRJQyyaCOM1C4A.jpg,1152,80,US,119
244,0,8.73274,King Kong,An adventure film about a film crew in search of a monster on a remote island. The crew finds King Kong and decides to take him back to New York as a money making spectacle. The film is a masterpiece of Stop-Motion in filmmaking history and inspired a line of King Kong films.,A Monster of Creation's Dawn Breaks Loose in Our World Today!,1933-04-07,/vXInYahVp31uL8wZORckaoHq565.jpg,3238,28,US,100
